row_label_raw,row_label_full,col_0,Vốn gópcủa chủ sở hữu,Thặng dưvốn cổ phần,Vốn khác của chủ sở hữu,Quỹ đầu tưphát triển,Lợi nhuậnsau thuếchưa phân phối,Cộng,numeric__Vốn gópcủa chủ sở hữu,numeric__Thặng dưvốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuậnsau thuếchưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.170.973.230.000,211.326.226.000,10.801.285.907,464.669.540.313,958.469.074.670(347.351.860.000),3.816.239.356.890,2170973230000.0,211326226000.0,10801285907.0,464669540313.0,,3816239356890.0
Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,347.351.860.000,-,-,-,394.852.892.967(186.580.468.998),394.852.892.967(34.939.900.085),347351860000.0,,,,,
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,-,(352.565.512.600),(352.565.512.600),,,,,-352565512600.0,-352565512600.0
Trích lập các quỹ trong năm trước,Trích lập các quỹ trong năm trước,Trích lập các quỹ trong năm trước,-,-,-,151.640.568.913,-,-,,,,151640568913.0,,
Chia cổ tức trong năm trước,Chia cổ tức trong năm trước,Chia cổ tức trong năm trước,-,-,-,-,-,-,,,,,,
Số dư cuối năm trước,Chia cổ tức trong năm trước > Số dư cuối năm trước,Số dư cuối năm trước,2.518.325.090.000,211.326.226.000,10.801.285.907,616.310.109.226,466.824.126.039,3.823.586.837.172,2518325090000.0,211326226000.0,10801285907.0,616310109226.0,466824126039.0,3823586837172.0
Số dư đầu năm nay,Chia cổ tức trong năm trước > Số dư đầu năm nay,Số dư đầu năm nay,2.518.325.090.000,211.326.226.000,10.801.285.907,616.310.109.226,466.824.126.039,3.823.586.837.172,2518325090000.0,211326226000.0,10801285907.0,616310109226.0,466824126039.0,3823586837172.0
Tăng vốn điều lệ từ phát hành cổ phiếu,Chia cổ tức trong năm trước > Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,1.259.158.750.000,-,-,-,-,1.259.158.750.000,1259158750000.0,,,,,1259158750000.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,-,354.137.893.485(145.686.375.174),354.137.893.485(30.335.824.225),,,,,,
Trích lập các quỹ trong năm nay,Lợi nhuận trong năm nay > Trích lập các quỹ trong năm nay,Trích lập các quỹ trong năm nay,-,-,-,115.350.550.949,-,-,,,,115350550949.0,,
Hoàn trả nguồn quỹ về Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Lợi nhuận trong năm nay > Hoàn trả nguồn quỹ về Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Hoàn trả nguồn quỹ về Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,-,-,-,(19.180.333.293),19.180.333.293,-,,,,-19180333293.0,19180333293.0,
Ảnh hưởng do thay đổi tỷ lệ sở hữu tại công ty liên kết,Ảnh hưởng do thay đổi tỷ lệ sở hữu tại công ty liên kết,Ảnh hưởng do thay đổi tỷ lệ sở hữu tại công ty liên kết,-,-,-,-,9.311.980.162(264.423.868.800),9.311.980.162(264.423.868.800),,,,,,
Chia cổ tức trong năm nay,Chia cổ tức trong năm nay,Chia cổ tức trong năm nay,-,-,-,-,-,-,,,,,,
Số dư cuối năm nay,Chia cổ tức trong năm nay > Số dư cuối năm nay,Số dư cuối năm nay,3.777.483.840.000,211.326.226.000,10.801.285.907,712.480.326.882,439.344.089.005,5.151.435.767.794,3777483840000.0,211326226000.0,10801285907.0,712480326882.0,439344089005.0,5151435767794.0
