row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
I. Lưu chuyển tiền tử hoạt động kinh doanh,I. Lưu chuyển tiền tử hoạt động kinh doanh,I. Lưu chuyển tiền tử hoạt động kinh doanh,I. Lưu chuyển tiền tử hoạt động kinh doanh,I. Lưu chuyển tiền tử hoạt động kinh doanh,I. Lưu chuyển tiền tử hoạt động kinh doanh,I. Lưu chuyển tiền tử hoạt động kinh doanh,I. Lưu chuyển tiền tử hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền tử hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,414.891.145.806,494.392.647.596,,1.0,,414891145806.0,494392647596.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,,
- Khấu hao tài sản cố định và bắt động sản đầu tư,2. Điều chỉnh cho các khoản: > - Khấu hao tài sản cố định và bắt động sản đầu tư,- Khấu hao tài sản cố định và bắt động sản đầu tư,- Khấu hao tài sản cố định và bắt động sản đầu tư,02,V.9;V.10;V.11,66.252.231.373,59.323.099.501,,2.0,,66252231373.0,59323099501.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản: > - Các khoản dự phòng,- Các khoản dự phòng,- Các khoản dự phòng,03,V.2b;V.6,849.201.797,(342.739.294),,3.0,,849201797.0,-342739294.0
"- Lãi, lỗ chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản: > - Lãi, lỗ chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,V1.4;V1.5,(45.539.444),8.286.939,,4.0,,-45539444.0,8286939.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản: > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,V.2b; V1.4; V1.8,(131.504.565.872),(4.362.636.922),,5.0,,-131504565872.0,-4362636922.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản: > - Chi phí lãi vay,- Chi phí lãi vay,- Chi phí lãi vay,06,V1.5,45.352.507.564,71.688.784.363,,6.0,,45352507564.0,71688784363.0
- Các khoản điều chỉnh khác,2. Điều chỉnh cho các khoản: > - Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,07,,-,-,,7.0,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,395.794.981.224,620.707.442.183,,8.0,,395794981224.0,620707442183.0
