row_label_raw,row_label_full,col_0,Thời gianquá hạn,Số cuối năm > Giá gốc,Số cuối năm > Giá trị cóthể thu hồi,Thời gianquá hạn_1,Số đầu năm > Giá gốc,Số đầu năm > Giá trị cóthể thu hồi,numeric__Thời gianquá hạn,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị cóthể thu hồi,numeric__Thời gianquá hạn_1,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị cóthể thu hồi
Phải thu các tổ chức và cá nhân,Phải thu các tổ chức và cá nhân,Phải thu các tổ chức và cá nhân,,9.015.278.650,4.428.816.147,,1.124.202.354,786.941.648,,9015278650.0,4428816147.0,,1124202354.0,786941648.0
Phải thu các tổ chức và cá nhân,Phải thu các tổ chức và cá nhân,Phải thu các tổ chức và cá nhân,Từ 06 thángđến 01 năm,905.695.864,633.987.105,Từ 06 thángđến 01 năm,1.124.202.354,786.941.648,,905695864.0,633987105.0,,1124202354.0,786941648.0
Phải thu các tổ chức và cá nhân,Phải thu các tổ chức và cá nhân,Phải thu các tổ chức và cá nhân,Từ 01 đến 02năm,8.007.158.386,3.764.101.722,,,,,8007158386.0,3764101722.0,,,
Phải thu các tổ chức và cá nhân,Phải thu các tổ chức và cá nhân,Phải thu các tổ chức và cá nhân,Từ 02 đến 03năm,102.424.400,30.727.320,,,,,102424400.0,30727320.0,,,
Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,,462.250.057.035,462.250.057.035,,432.689.951.692,432.689.951.692,,462250057035.0,462250057035.0,,432689951692.0,432689951692.0
Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Dưới 06 tháng,29.667.060.207,29.667.060.207,Dưới 06 tháng,19.524.130.173,19.524.130.173,,29667060207.0,29667060207.0,,19524130173.0,19524130173.0
Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Từ 06 thángđến 01 năm,22.069.395.000,22.069.395.000,Từ 06 thángđến 01 năm,29.580.071.250,29.580.071.250,,22069395000.0,22069395000.0,,29580071250.0,29580071250.0
Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Từ 01 đến 02năm,53.268.820.173,53.268.820.173,Từ 01 đến 02năm,85.919.829.150,85.919.829.150,,53268820173.0,53268820173.0,,85919829150.0,85919829150.0
Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Từ 02 đến 03năm,75.306.322.150,75.306.322.150,Từ 02 đến 03năm,35.811.722.450,35.811.722.450,,75306322150.0,75306322150.0,,35811722450.0,35811722450.0
Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Phải thu tiền bán bắt động sản,Trên 03 năm,281.938.459.505,281.938.459.505,Trên 03 năm,261.854.198.669,261.854.198.669,,281938459505.0,281938459505.0,,261854198669.0,261854198669.0
Cộng,Cộng,Cộng,,471.265.335.685,466.678.873.182,,433.814.154.046,433.476.893.340,,471265335685.0,466678873182.0,,433814154046.0,433476893340.0
