row_label_raw,row_label_full,col_0,Lĩnh vực bán về cầu đường,Lĩnh vực kinh doanh bắt động sản,Lĩnh vực kinh doanh bắt động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán về cầu đường,numeric__Lĩnh vực kinh doanh bắt động sản,numeric__Lĩnh vực kinh doanh bắt động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,293.808.133.727,698.400.121.798,31.125.767.222,128.874.330.855,13.331.735.073,328.803.921.237,1.494.344.009.912,293808133727.0,698400121798.0,31125767222.0,128874330855.0,13331735073.0,328803921237.0,1494344009912.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,293.808.133.727,698.400.121.798,31.125.767.222,128.874.330.855,13.331.735.073,328.803.921.237,1.494.344.009.912,293808133727.0,698400121798.0,31125767222.0,128874330855.0,13331735073.0,328803921237.0,1494344009912.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,188.495.009.763,205.011.225.866,12.099.505.273,24.014.394.359,(622.513.675),49.387.507.038,478.385.128.624,188495009763.0,205011225866.0,12099505273.0,24014394359.0,-622513675.0,49387507038.0,478385128624.0
Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,,,,,,,-,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chỉ phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,478.385.128.624,,,,,,,478385128624.0
Doanh thu hoạt động tài chính,Các chỉ phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,4.728.783.864,,,,,,,4728783864.0
Chi phí tài chính,Các chỉ phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,,,(39.761.869),,,,,,,-39761869.0
Thu nhập khác,Các chỉ phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,,,,,28.330.308.237,,,,,,,28330308237.0
Chi phí khác,Các chỉ phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,,,,,(17.011.811.260),,,,,,,-17011811260.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các chỉ phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(99.539.754.629),,,,,,,-99539754629.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,-,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,394.852.892.967,,,,,,,394852892967.0
Tổng chi phí đã phát sinh để mua tài sản cổ định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí đã phát sinh để mua tài sản cổ định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cổ định và các tài sản dài hạn khác,44.888.643.863,24.255.459.350,710.100.146,4.466.015.685,-,16.145.589.021,90.465.808.064,44888643863.0,24255459350.0,710100146.0,4466015685.0,,16145589021.0,90465808064.0
Tổng chi phí khấu hao và phân bổ chỉ phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí khấu hao và phân bổ chỉ phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chỉ phí trả trước dài hạn,69.211.709.802,34.947.420.736,9.254.337.349,6.391.158.051,-,5.751.600.613,125.556.226.551,69211709802.0,34947420736.0,9254337349.0,6391158051.0,,5751600613.0,125556226551.0
