row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,4.224.000.000.000,455.867.017.367,63.753.609.355,1.708.493.510.086,54.670.877.242,6.506.785.014.050,4224000000000.0,455867017367.0,63753609355.0,1708493510086.0,54670877242.0,6506785014050.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.496.872.518.578,7.664.401.627,1.504.536.920.205,,,,1496872518578.0,7664401627.0,1504536920205.0
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,-,-,-,(1.478.400.000.000),(4.800.000.000),(1.483.200.000.000),,,,-1478400000000.0,-4800000000.0,-1483200000000.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(34.946.038.000),(297.855.000),(35.243.893.000),,,,-34946038000.0,-297855000.0,-35243893000.0
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,7.223.810.000,(7.223.810.000),-,-,-,,7223810000.0,-7223810000.0,,,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,4.224.000.000.000,463.090.827.367,56.529.799.355,1.692.019.990.664,57.237.423.869,6.492.878.041.255,4224000000000.0,463090827367.0,56529799355.0,1692019990664.0,57237423869.0,6492878041255.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.123.173.498.184,6.024.787.790,1.129.198.285.974,,,,1123173498184.0,6024787790.0,1129198285974.0
Cổ tức được chia (i1; i.2 & i.3)),Cổ tức được chia (i1; i.2 & i.3)),Cổ tức được chia (i1; i.2 & i.3)),-,-,-,(2.280.960.000.000),(4.800.000.000),(2.285.760.000.000),,,,-2280960000000.0,-4800000000.0,-2285760000000.0
Trích quỹ khen thưởng phúc lợi (ii),Trích quỹ khen thưởng phúc lợi (ii),Trích quỹ khen thưởng phúc lợi (ii),-,-,-,(52.748.418.800),(428.791.200),(53.177.210.000),,,,-52748418800.0,-428791200.0,-53177210000.0
Hoàn nhập quỹ Đầu tư phát triển,Hoàn nhập quỹ Đầu tư phát triển,Hoàn nhập quỹ Đầu tư phát triển,-,-,(19.000.000.000),19.000.000.000,-,-,,,-19000000000.0,19000000000.0,,
Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,Chuyển nguồn hình thành tài sản cố định,-,12.354.010.434,(12.354.010.434),-,-,-,,12354010434.0,-12354010434.0,,,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.224.000.000.000,475.444.837.801,25.175.788.921,500.485.070.048,58.033.420.459,5.283.139.117.229,4224000000000.0,475444837801.0,25175788921.0,500485070048.0,58033420459.0,5283139117229.0
