row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,2.077.658.879.921,2.232.453.004.396,,100.0,,2077658879921.0,2232453004396.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,536.186.291.363,1.208.606.920.989,,110.0,4.0,536186291363.0,1208606920989.0
1.,1.,1.,Tiền,111,,7.336.359.863,16.235.303.589,,111.0,,7336359863.0,16235303589.0
2.,2.,2.,Các khoản tương đương tiền,112,,528.849.931.500,1.192.371.617.400,,112.0,,528849931500.0,1192371617400.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,70.000.000.000,400.000.000.000,,120.0,5.0,70000000000.0,400000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,70.000.000.000,400.000.000.000,,123.0,,70000000000.0,400000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.428.124.971.078,584.910.106.545,,130.0,,1428124971078.0,584910106545.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,1.180.980.900.187,539.431.025.628,,131.0,6.0,1180980900187.0,539431025628.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,4.562.967.122,1.204.969.105,,132.0,,4562967122.0,1204969105.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,29,200.000.000.000,-,,135.0,29.0,200000000000.0,
4.,4.,4.,Phải thu ngắn hạn khác,136,7,44.601.317.464,46.201.029.922,,136.0,7.0,44601317464.0,46201029922.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,8,(2.020.213.695),(1.926.918.110),,137.0,8.0,-2020213695.0,-1926918110.0
IV.,IV.,IV.,Hàng tồn kho,140,9,37.491.425.648,38.404.092.046,,140.0,9.0,37491425648.0,38404092046.0
1.,1.,1.,Hàng tồn kho,141,,37.491.425.648,38.404.092.046,,141.0,,37491425648.0,38404092046.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,5.856.191.832,531.884.816,,150.0,,5856191832.0,531884816.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,12,606.363.869,531.884.816,,151.0,12.0,606363869.0,531884816.0
2.,2.,2.,Thuế và các khoản khác phải thu Nhà nước,153,14,5.249.827.963,-,,153.0,14.0,5249827963.0,
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,5.941.470.949.131,6.378.672.758.895,,200.0,,5941470949131.0,6378672758895.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,599.932.824.894,799.932.824.894,,210.0,,599932824894.0,799932824894.0
1.,1.,1.,Phải thu về cho vay dài hạn,215,29,599.932.824.894,799.932.824.894,,215.0,29.0,599932824894.0,799932824894.0
II.,II.,II.,Tài sản cố định,220,,4.933.484.262.836,5.299.544.680.420,,220.0,,4933484262836.0,5299544680420.0
1.,1.,1.,Tài sản cố định hữu hình,221,10,4.932.820.455.298,5.298.542.592.414,,221.0,10.0,4932820455298.0,5298542592414.0
,,,- Nguyên giá,222,,15.381.420.021.833,15.370.330.000.906,,222.0,,15381420021833.0,15370330000906.0
,,,- Giá trị hao mòn lũy kế,223,,(10.448.599.566.535),(10.071.787.408.492),,223.0,,-10448599566535.0,-10071787408492.0
2.,2.,2.,Tài sản cố định vô hình,227,,663.807.538,1.002.088.006,,227.0,,663807538.0,1002088006.0
,,,- Nguyên giá,228,,2.335.628.057,2.335.628.057,,228.0,,2335628057.0,2335628057.0
,,,- Giá trị hao mòn lũy kế,229,,(1.671.820.519),(1.333.540.051),,229.0,,-1671820519.0,-1333540051.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,100.596.498.555,18.336.877.279,,240.0,,100596498555.0,18336877279.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,11,100.596.498.555,18.336.877.279,,242.0,11.0,100596498555.0,18336877279.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,211.131.850.077,173.727.615.127,,250.0,5.0,211131850077.0,173727615127.0
1.,1.,1.,Đầu tư vào công ty liên kết,252,,143.771.850.077,133.387.615.127,,252.0,,143771850077.0,133387615127.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,,37.360.000.000,37.360.000.000,,253.0,,37360000000.0,37360000000.0
3.,3.,3.,Đầu tư nằm giữ đến ngày đáo hạn,255,,30.000.000.000,2.980.000.000,,255.0,,30000000000.0,2980000000.0
V.,V.,V.,Tài sản dài hạn khác,260,,96.325.512.769,87.130.761.175,,260.0,,96325512769.0,87130761175.0
1.,1.,1.,Chi phí trả trước dài hạn,261,12,39.369.645.676,28.483.465.178,,261.0,12.0,39369645676.0,28483465178.0
2.,2.,2.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,9,56.955.867.093,58.647.295.997,,263.0,9.0,56955867093.0,58647295997.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,8.019.129.829.052,8.611.125.763.291,,270.0,,8019129829052.0,8611125763291.0
