row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tài sảncố định khácVND,TổngVND,numeric__Nhà xưởngvà vật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sảncố định khácVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,9.320.072.279.453,5.918.357.789.063,79.348.569.020,52.333.982.863,217.380.507,15.370.330.000.906,9320072279453.0,5918357789063.0,79348569020.0,52333982863.0,217380507.0,15370330000906.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,7.171.545.454,-,5.449.522.220,-,12.621.067.674,,7171545454.0,,5449522220.0,,12621067674.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,(1.318.046.916),(212.999.831),-,-,-,(1.531.046.747),-1318046916.0,-212999831.0,,,,-1531046747.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.318.754.232.537,5.925.316.334.686,79.348.569.020,57.783.505.083,217.380.507,15.381.420.021.833,9318754232537.0,5925316334686.0,79348569020.0,57783505083.0,217380507.0,15381420021833.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,5.312.146.160.575,4.651.157.763.732,57.841.601.102,50.641.883.083,-,10.071.787.408.492,5312146160575.0,4651157763732.0,57841601102.0,50641883083.0,,10071787408492.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,205.686.040.296,165.424.905.351,4.103.469.097,1.597.743.299,-,376.812.158.043,205686040296.0,165424905351.0,4103469097.0,1597743299.0,,376812158043.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,5.517.832.200.871,4.816.582.669.083,61.945.070.199,52.239.626.382,-,10.448.599.566.535,5517832200871.0,4816582669083.0,61945070199.0,52239626382.0,,10448599566535.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số dư đầu năm,GIÁ TRỊ CÒN LẠI > Số dư đầu năm,Số dư đầu năm,4.007.926.118.878,1.267.200.025.331,21.506.967.918,1.692.099.780,217.380.507,5.298.542.592.414,4007926118878.0,1267200025331.0,21506967918.0,1692099780.0,217380507.0,5298542592414.0
Số dư cuối năm,GIÁ TRỊ CÒN LẠI > Số dư cuối năm,Số dư cuối năm,3.800.922.031.666,1.108.733.665.603,17.403.498.821,5.543.878.701,217.380.507,4.932.820.455.298,3800922031666.0,1108733665603.0,17403498821.0,5543878701.0,217380507.0,4932820455298.0
