row_label_raw,row_label_full,Công ty con/công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu (%),Tỷ lệ nằm giữ quyền biểu quyết (%),Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu (%),numeric__Tỷ lệ nằm giữ quyền biểu quyết (%),numeric__Hoạt động chính
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
Công ty Cố phần Thủy điện Hạ Sông Pha Công ty liên kết,Công ty con > Công ty Cố phần Thủy điện Hạ Sông Pha Công ty liên kết,Công ty Cố phần Thủy điện Hạ Sông Pha Công ty liên kết,Ninh Thuận,70%,70%,"Sản xuất, kinh doanh điện năng",,0.7,0.7,
Công ty Cố phần Thủy điện Hạ Sông Pha Công ty liên kết,Công ty con > Công ty Cố phần Thủy điện Hạ Sông Pha Công ty liên kết,Công ty Cố phần Thủy điện Hạ Sông Pha Công ty liên kết,Ninh Thuận,70%,70%,"Sản xuất, kinh doanh điện năng",,0.7,0.7,
Công ty Cố phần Phong điện Thuận Bình,Công ty con > Công ty Cố phần Phong điện Thuận Bình,Công ty Cố phần Phong điện Thuận Bình,Bình Thuận,20%,20%,"Sản xuất, kinh doanh điện năng",,0.2,0.2,
