row_label_raw,row_label_full,Bà Đình Hải Ninh > Ông Nguyễn Đăng Dung,Trường ban (bổ nhiệm ngày 27 tháng 4 năm 2023) > Trường ban (miễn nhiệm ngày 27 tháng 4 năm 2023),numeric__Trường ban (bổ nhiệm ngày 27 tháng 4 năm 2023) > Trường ban (miễn nhiệm ngày 27 tháng 4 năm 2023)
Ông Đăng Văn Minh,Ông Đăng Văn Minh,Ông Đăng Văn Minh,Thành viên,
Ông Phạm Việt Kỳ,Ông Phạm Việt Kỳ,Ông Phạm Việt Kỳ,Thành viên,
