row_label_raw,row_label_full,col_0,Tại ngày 31/12/2023VND > Giá gốc,Tại ngày 31/12/2023VND > Giá trị hợp lý,Tại ngày 31/12/2023VND > Dự phòng,Tại ngày 01/01/2023VND > Giá gốc,Tại ngày 01/01/2023VND > Giá trị hợp lý,Tại ngày 01/01/2023VND > Dự phòng,numeric__Tại ngày 31/12/2023VND > Giá gốc,numeric__Tại ngày 31/12/2023VND > Giá trị hợp lý,numeric__Tại ngày 31/12/2023VND > Dự phòng,numeric__Tại ngày 01/01/2023VND > Giá gốc,numeric__Tại ngày 01/01/2023VND > Giá trị hợp lý,numeric__Tại ngày 01/01/2023VND > Dự phòng
Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,,,,,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Cấp nước Đồng Nai,Công ty Cổ phần > Cấp nước Đồng Nai,Cấp nước Đồng Nai,849.100.146.787,2.089.602.453.960,-,849.100.146.787,2.042.532.072.000,-,849100146787.0,2089602453960.0,,849100146787.0,2042532072000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Căng Đồng Nai (a),Công ty Cổ phần > Căng Đồng Nai (a),Căng Đồng Nai (a),242.452.980.000,1.775.889.360.000,-,242.452.980.000,1.320.581.556.000,-,242452980000.0,1775889360000.0,,242452980000.0,1320581556000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Long Thành (b),Công ty Cổ phần > Sonadezi Long Thành (b),Sonadezi Long Thành (b),201.688.600.000,558.994.800.000,-,201.688.600.000,486.305.000.000,-,201688600000.0,558994800000.0,,201688600000.0,486305000000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Phát triển Đô thị Công nghiệp Số 2,Công ty Cổ phần > Phát triển Đô thị Công nghiệp Số 2,Phát triển Đô thị Công nghiệp Số 2,200.655.000.000,441.860.832.000,-,200.655.000.000,398.902.140.000,-,200655000000.0,441860832000.0,,200655000000.0,398902140000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Môi trường Sonadezi,Công ty Cổ phần > Môi trường Sonadezi,Môi trường Sonadezi,197.027.735.730,227.921.992.098,-,197.027.735.730,233.877.974.358,-,197027735730.0,227921992098.0,,197027735730.0,233877974358.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Đầu tư Xây dựng và Vật liệu Đồng Nai,Công ty Cổ phần > Đầu tư Xây dựng và Vật liệu Đồng Nai,Đầu tư Xây dựng và Vật liệu Đồng Nai,53.838.407.700,66.366.057.780,-,53.838.407.700,53.478.099.180,-,53838407700.0,66366057780.0,,53838407700.0,53478099180.0,
Cộng,Công ty Cổ phần > Cộng,Cộng,1.744.762.870.217,,-,1.744.762.870.217,,-,1744762870217.0,,,1744762870217.0,,
