row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Cộng VND
Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,3.765.000.000.000,(90.100.000),65.134.440.658,471.502.926.221,4.301.547.266.879,3765000000000.0,-90100000.0,65134440658.0,471502926221.0,4301547266879.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,455.331.527.507,455.331.527.507,,,,455331527507.0,455331527507.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,20.964.943.570,(20.964.943.570),-,,,20964943570.0,-20964943570.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(8.266.743.714),(8.266.743.714),,,,-8266743714.0,-8266743714.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(376.491.800.000),(376.491.800.000),,,,-376491800000.0,-376491800000.0
Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,3.765.000.000.000,(90.100.000),86.099.384.228,521.110.966.444,4.372.120.250.672,3765000000000.0,-90100000.0,86099384228.0,521110966444.0,4372120250672.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,450.820.858.742,450.820.858.742,,,,450820858742.0,450820858742.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,31.873.206.925,(31.873.206.925),-,,,31873206925.0,-31873206925.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(6.536.418.000),(6.536.418.000),,,,-6536418000.0,-6536418000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(414.140.980.000),(414.140.980.000),,,,-414140980000.0,-414140980000.0
Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,3.765.000.000.000,(90.100.000),117.972.591.153,519.381.220.261,4.402.263.711.414,3765000000000.0,-90100000.0,117972591153.0,519381220261.0,4402263711414.0
