row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm vi tính VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm vi tính VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Tại ngày 01/01/2023,Nguyên giá: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,5.677.081.406,616.886.364,6.293.967.770,5677081406.0,616886364.0,6293967770.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,1.291.940.000,1.291.940.000,,1291940000.0,1291940000.0
Tại ngày 31/12/2023,Nguyên giá: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,5.677.081.406,1.908.826.364,7.585.907.770,5677081406.0,1908826364.0,7585907770.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Tại ngày 01/01/2023,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,4.163.193.042,541.114.568,4.704.307.610,4163193042.0,541114568.0,4704307610.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,504.629.460,208.505.796,713.135.256,504629460.0,208505796.0,713135256.0
Tại ngày 31/12/2023,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,4.667.822.502,749.620.364,5.417.442.866,4667822502.0,749620364.0,5417442866.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Tại ngày 01/01/2023,Giá trị còn lại: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,1.513.888.364,75.771.796,1.589.660.160,1513888364.0,75771796.0,1589660160.0
Tại ngày 31/12/2023,Giá trị còn lại: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,1.009.258.904,1.159.206.000,2.168.464.904,1009258904.0,1159206000.0,2168464904.0
