row_label_raw,row_label_full,col_0,Tại ngày 31/12/2023VND > Giá trị,Tại ngày 31/12/2023VND > Dự phòng,Tại ngày 01/01/2023VND > Giá trị,Tại ngày 01/01/2023VND > Dự phòng,numeric__Tại ngày 31/12/2023VND > Giá trị,numeric__Tại ngày 31/12/2023VND > Dự phòng,numeric__Tại ngày 01/01/2023VND > Giá trị,numeric__Tại ngày 01/01/2023VND > Dự phòng
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,
Phải thu cổ tức từ bên liên quan - Xem thêm Mục 7Đầu tư hợp tác kinh doanh với bên liên quan (*) - Xem thêm Mục 7,Ngắn hạn: > Phải thu cổ tức từ bên liên quan - Xem thêm Mục 7Đầu tư hợp tác kinh doanh với bên liên quan (*) - Xem thêm Mục 7,Phải thu cổ tức từ bên liên quan - Xem thêm Mục 7Đầu tư hợp tác kinh doanh với bên liên quan (*) - Xem thêm Mục 7,10.200.000.000,-,-,-,10200000000.0,,,
Phải thu cổ tức từ bên liên quan - Xem thêm Mục 7Đầu tư hợp tác kinh doanh với bên liên quan (*) - Xem thêm Mục 7,Ngắn hạn: > Phải thu cổ tức từ bên liên quan - Xem thêm Mục 7Đầu tư hợp tác kinh doanh với bên liên quan (*) - Xem thêm Mục 7,Phải thu cổ tức từ bên liên quan - Xem thêm Mục 7Đầu tư hợp tác kinh doanh với bên liên quan (*) - Xem thêm Mục 7,5.713.699.087,-,5.713.699.087,-,5713699087.0,,5713699087.0,
Dự thu lãi tiền gửiPhải thu Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDCO - Mỏ đá Xuân Hòa,Ngắn hạn: > Dự thu lãi tiền gửiPhải thu Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDCO - Mỏ đá Xuân Hòa,Dự thu lãi tiền gửiPhải thu Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDCO - Mỏ đá Xuân Hòa,19.880.724.000,-,20.280.242.000,-,19880724000.0,,20280242000.0,
Dự thu lãi tiền gửiPhải thu Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDCO - Mỏ đá Xuân Hòa,Ngắn hạn: > Dự thu lãi tiền gửiPhải thu Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDCO - Mỏ đá Xuân Hòa,Dự thu lãi tiền gửiPhải thu Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDCO - Mỏ đá Xuân Hòa,4.388.868.904,-,2.567.401.945,-,4388868904.0,,2567401945.0,
Phải thu cổ tức,Ngắn hạn: > Phải thu cổ tức,Phải thu cổ tức,474.300.000,-,474.300.000,-,474300000.0,,474300000.0,
Phải thu khác,Ngắn hạn: > Phải thu khác,Phải thu khác,1.768.673.887,-,1.035.258.381,-,1768673887.0,,1035258381.0,
Cộng,Ngắn hạn: > Cộng,Cộng,42.426.265.878,-,30.070.901.413,-,42426265878.0,,30070901413.0,
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,,,
Đặt cọc cho bên liên quan - Xem thêm Mục 7,Dài hạn: > Đặt cọc cho bên liên quan - Xem thêm Mục 7,Đặt cọc cho bên liên quan - Xem thêm Mục 7,1.074.817.500,-,1.074.817.500,-,1074817500.0,,1074817500.0,
