row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,Tại ngày 31/12/2023,Tại ngày 01/01/2023,numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2023,numeric__Tại ngày 01/01/2023
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,850.059.073.720,1.118.270.227.949,100.0,,850059073720.0,1118270227949.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4.1,97.898.161.728,146.097.599.464,110.0,41.0,97898161728.0,146097599464.0
1. Tiền,1. Tiền,1. Tiền,111,,46.628.161.728,116.097.599.464,111.0,,46628161728.0,116097599464.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,51.270.000.000,30.000.000.000,112.0,,51270000000.0,30000000000.0
II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,120,,641.380.000.000,869.880.000.000,120.0,,641380000000.0,869880000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,4.2,641.380.000.000,869.880.000.000,123.0,42.0,641380000000.0,869880000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,67.379.863.502,79.432.803.638,130.0,,67379863502.0,79432803638.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,4.3,48.285.522.408,65.856.690.736,131.0,43.0,48285522408.0,65856690736.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,125.064.040,561.476.040,132.0,,125064040.0,561476040.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,4.4,42.426.265.878,30.070.901.413,136.0,44.0,42426265878.0,30070901413.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,4.5,(23.456.988.824),(17.056.264.551),137.0,45.0,-23456988824.0,-17056264551.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,11.055.349.434,10.967.533.820,140.0,,11055349434.0,10967533820.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,4.6,11.055.349.434,10.967.533.820,141.0,46.0,11055349434.0,10967533820.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,32.345.699.056,11.892.291.027,150.0,,32345699056.0,11892291027.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,,494.910.525,422.051.307,151.0,,494910525.0,422051307.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,4.13,31.848.703.526,6.271.379.200,152.0,413.0,31848703526.0,6271379200.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,4.13,2.085.005,5.198.860.520,153.0,413.0,2085005.0,5198860520.0
