row_label_raw,row_label_full,col_0,Tại ngày 31/12/2023VND > Giá gốc,Tại ngày 31/12/2023VND > Giá trị hợp lý,Tại ngày 31/12/2023VND > Dự phòng,Tại ngày 01/01/2023VND > Giá gốc,Tại ngày 01/01/2023VND > Giá trị hợp lý,Tại ngày 01/01/2023VND > Dự phòng,numeric__Tại ngày 31/12/2023VND > Giá gốc,numeric__Tại ngày 31/12/2023VND > Giá trị hợp lý,numeric__Tại ngày 31/12/2023VND > Dự phòng,numeric__Tại ngày 01/01/2023VND > Giá gốc,numeric__Tại ngày 01/01/2023VND > Giá trị hợp lý,numeric__Tại ngày 01/01/2023VND > Dự phòng
Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,,,,,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Châu Đức (c),Công ty Cổ phần > Sonadezi Châu Đức (c),Sonadezi Châu Đức (c),488.352.527.264,2.506.876.800.000,-,488.352.527.264,1.227.208.000.000,-,488352527264.0,2506876800000.0,,488352527264.0,1227208000000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Giang Điền,Công ty Cổ phần > Sonadezi Giang Điền,Sonadezi Giang Điền,255.000.000.000,886.558.500.000,-,255.000.000.000,822.043.500.000,-,255000000000.0,886558500000.0,,255000000000.0,822043500000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Long Bình,Công ty Cổ phần > Sonadezi Long Bình,Sonadezi Long Bình,172.866.022.000,434.037.100.000,-,172.866.022.000,367.475.500.000,-,172866022000.0,434037100000.0,,172866022000.0,367475500000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Bình Thuận,Công ty Cổ phần > Sonadezi Bình Thuận,Sonadezi Bình Thuận,168.000.000.000,(*),-,168.000.000.000,(*),-,168000000000.0,,,168000000000.0,,
Công ty Cổ phần Đầu tư Quốc,Công ty Cổ phần Đầu tư Quốc,Công ty Cổ phần Đầu tư Quốc,,,,,,,,,,,,
lộ 91 Cần Thơ - An Giang,Công ty Cổ phần Đầu tư Quốc > lộ 91 Cần Thơ - An Giang,lộ 91 Cần Thơ - An Giang,112.000.000.000,(*),-,112.000.000.000,(*),-,112000000000.0,,,112000000000.0,,
Trường Cao đẳng Công nghệ,Trường Cao đẳng Công nghệ,Trường Cao đẳng Công nghệ,,,,,,,,,,,,
và Quản trị Sonadezi,Trường Cao đẳng Công nghệ > và Quản trị Sonadezi,và Quản trị Sonadezi,33.436.575.595,(*),-,33.436.575.595,(*),-,33436575595.0,,,33436575595.0,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi An Bình,Công ty Cổ phần > Sonadezi An Bình,Sonadezi An Bình,29.841.520.005,(*),-,29.841.520.005,(*),-,29841520005.0,,,29841520005.0,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Kinh doanh nhà Đồng Nai (d),Công ty Cổ phần > Kinh doanh nhà Đồng Nai (d),Kinh doanh nhà Đồng Nai (d),21.578.551.008,(*),-,21.578.551.008,(*),-,21578551008.0,,,21578551008.0,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Dịch vụ Sonadezi,Công ty Cổ phần > Dịch vụ Sonadezi,Dịch vụ Sonadezi,12.600.000.000,28.740.000.000,-,12.600.000.000,30.000.000.000,-,12600000000.0,28740000000.0,,12600000000.0,30000000000.0,
Công ty Cổ phần Sơn Đồng Nai (e),Công ty Cổ phần > Công ty Cổ phần Sơn Đồng Nai (e),Công ty Cổ phần Sơn Đồng Nai (e),10.295.294.400,25.510.464.000,-,10.295.294.400,19.041.739.200,-,10295294400.0,25510464000.0,,10295294400.0,19041739200.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Xây dựng Đồng Nai,Công ty Cổ phần > Xây dựng Đồng Nai,Xây dựng Đồng Nai,9.989.525.897,(*),-,10.452.711.215,(*),-,9989525897.0,,,10452711215.0,,
Cộng,Công ty Cổ phần > Cộng,Cộng,1.313.960.016.169,,-,1.314.423.201.487,,-,1313960016169.0,,,1314423201487.0,,
