row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Phương tiệnvận tải,truyền dẫnVND","Thiết bị,dụng cụquản lýVND",CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Phương tiệnvận tải,truyền dẫnVND","numeric__Thiết bị,dụng cụquản lýVND",numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2023,Nguyên giá: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,3.646.591.259,7.307.357.943,3.003.779.066,13.957.728.268,3646591259.0,7307357943.0,3003779066.0,13957728268.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,1.223.990.909,-,1.223.990.909,,1223990909.0,,1223990909.0
Tại ngày 31/12/2023,Nguyên giá: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,3.646.591.259,8.531.348.852,3.003.779.066,15.181.719.177,3646591259.0,8531348852.0,3003779066.0,15181719177.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2023,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,3.646.591.259,5.462.004.585,2.177.125.750,11.285.721.594,3646591259.0,5462004585.0,2177125750.0,11285721594.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,708.541.672,359.923.750,1.068.465.422,,708541672.0,359923750.0,1068465422.0
Tại ngày 31/12/2023,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,3.646.591.259,6.170.546.257,2.537.049.500,12.354.187.016,3646591259.0,6170546257.0,2537049500.0,12354187016.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2023,Giá trị còn lại: > Tại ngày 01/01/2023,Tại ngày 01/01/2023,-,1.845.353.358,826.653.316,2.672.006.674,,1845353358.0,826653316.0,2672006674.0
Tại ngày 31/12/2023,Giá trị còn lại: > Tại ngày 31/12/2023,Tại ngày 31/12/2023,-,2.360.802.595,466.729.566,2.827.532.161,,2360802595.0,466729566.0,2827532161.0
