row_label_raw,row_label_full,col_0,Năm 2023VND,Năm 2022VND,numeric__Năm 2023VND,numeric__Năm 2022VND
Doanh thu cung cấp dịch vụ:,Doanh thu cung cấp dịch vụ:,Doanh thu cung cấp dịch vụ:,Doanh thu cung cấp dịch vụ:,Doanh thu cung cấp dịch vụ:,,
Công ty Cổ phần Sonadezi An Bình,Doanh thu cung cấp dịch vụ: > Công ty Cổ phần Sonadezi An Bình,Công ty Cổ phần Sonadezi An Bình,376.146.838,434.718.450,376146838.0,434718450.0
Công ty TNHH Tiên Triết,Doanh thu cung cấp dịch vụ: > Công ty TNHH Tiên Triết,Công ty TNHH Tiên Triết,300.278.481,348.265.098,300278481.0,348265098.0
Công ty Cổ phần Sơn Đồng Nai,Doanh thu cung cấp dịch vụ: > Công ty Cổ phần Sơn Đồng Nai,Công ty Cổ phần Sơn Đồng Nai,238.616.850,256.535.602,238616850.0,256535602.0
Công ty Cổ phần Sonadezi Giang Điền,Doanh thu cung cấp dịch vụ: > Công ty Cổ phần Sonadezi Giang Điền,Công ty Cổ phần Sonadezi Giang Điền,176.426.622,204.620.840,176426622.0,204620840.0
Công ty Cổ phần Kinh doanh Nhà Đồng Nai,Doanh thu cung cấp dịch vụ: > Công ty Cổ phần Kinh doanh Nhà Đồng Nai,Công ty Cổ phần Kinh doanh Nhà Đồng Nai,-,111.777.691.100,,111777691100.0
Cộng - Xem thêm Mục 5.1,Doanh thu cung cấp dịch vụ: > Cộng - Xem thêm Mục 5.1,Cộng - Xem thêm Mục 5.1,1.091.468.791,113.021.831.090,1091468791.0,113021831090.0
"Mua hàng hóa, dịch vụ:","Mua hàng hóa, dịch vụ:","Mua hàng hóa, dịch vụ:","Mua hàng hóa, dịch vụ:","Mua hàng hóa, dịch vụ:",,
Công ty Cổ phần Sonadezi Châu Đức,"Mua hàng hóa, dịch vụ: > Công ty Cổ phần Sonadezi Châu Đức",Công ty Cổ phần Sonadezi Châu Đức,351.620.333.185,1.193.959.767,351620333185.0,1193959767.0
Công ty Cổ phần Sonadezi Giang Điền,"Mua hàng hóa, dịch vụ: > Công ty Cổ phần Sonadezi Giang Điền",Công ty Cổ phần Sonadezi Giang Điền,4.964.254.818,4.665.442.525,4964254818.0,4665442525.0
Công ty TNHH Tiên Triết,"Mua hàng hóa, dịch vụ: > Công ty TNHH Tiên Triết",Công ty TNHH Tiên Triết,4.506.544.112,4.094.411.494,4506544112.0,4094411494.0
Công ty Cổ phần Dịch vụ Sonadezi,"Mua hàng hóa, dịch vụ: > Công ty Cổ phần Dịch vụ Sonadezi",Công ty Cổ phần Dịch vụ Sonadezi,131.077.500,118.944.980,131077500.0,118944980.0
Công ty Cổ phần Cấp nước Đồng Nai,"Mua hàng hóa, dịch vụ: > Công ty Cổ phần Cấp nước Đồng Nai",Công ty Cổ phần Cấp nước Đồng Nai,23.040.000,15.581.692,23040000.0,15581692.0
Công ty Cổ phần Kinh doanh Nhà Đồng Nai,"Mua hàng hóa, dịch vụ: > Công ty Cổ phần Kinh doanh Nhà Đồng Nai",Công ty Cổ phần Kinh doanh Nhà Đồng Nai,-,100.465.094.922,,100465094922.0
Trường Cao đẳng Công nghệ và Quản trị Sonadezi,"Mua hàng hóa, dịch vụ: > Trường Cao đẳng Công nghệ và Quản trị Sonadezi",Trường Cao đẳng Công nghệ và Quản trị Sonadezi,-,50.000.000,,50000000.0
Cộng,"Mua hàng hóa, dịch vụ: > Cộng",Cộng,361.245.249.615,110.603.435.380,361245249615.0,110603435380.0
