row_label_raw,row_label_full,CHỈ TIỀU,Mã số,TM,Năm 2023,Năm 2022,numeric__Mã số,numeric__TM,numeric__Năm 2023,numeric__Năm 2022
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1,5.1,161.238.230.440,165.955.834.629,1.0,51.0,161238230440.0,165955834629.0
2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,161.238.230.440,165.955.834.629,10.0,,161238230440.0,165955834629.0
3. Giá vốn hàng bán,3. Giá vốn hàng bán,3. Giá vốn hàng bán,11,5.2,59.431.804.999,136.701.032.871,11.0,52.0,59431804999.0,136701032871.0
4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,101.806.425.441,29.254.801.758,20.0,,101806425441.0,29254801758.0
5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,21,5.3,463.782.068.871,517.428.863.638,21.0,53.0,463782068871.0,517428863638.0
6. Chi phí tài chính,6. Chi phí tài chính,6. Chi phí tài chính,22,5.4,41.161.815.629,27.684.343.706,22.0,54.0,41161815629.0,27684343706.0
"Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay",23,,121.972.603,-,23.0,,121972603.0,
7. Chi phí bán hàng,7. Chi phí bán hàng,7. Chi phí bán hàng,25,,3.021.716.928,252.381.411,25.0,,3021716928.0,252381411.0
8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,26,5.5,55.777.247.081,51.019.451.039,26.0,55.0,55777247081.0,51019451039.0
9. Lợi nhuận thuần từ hoạt động kinh doanh,9. Lợi nhuận thuần từ hoạt động kinh doanh,9. Lợi nhuận thuần từ hoạt động kinh doanh,30,,465.627.714.674,467.727.489.240,30.0,,465627714674.0,467727489240.0
10. Thu nhập khác,10. Thu nhập khác,10. Thu nhập khác,31,,5.173.961.425,842.460.000,31.0,,5173961425.0,842460000.0
11. Chi phí khác,11. Chi phí khác,11. Chi phí khác,32,,142.109.744,13.238.421.733,32.0,,142109744.0,13238421733.0
12. Lợi nhuận khác,12. Lợi nhuận khác,12. Lợi nhuận khác,40,,5.031.851.681,(12.395.961.733),40.0,,5031851681.0,-12395961733.0
13. Tổng lợi nhuận kế toán trước thuế,13. Tổng lợi nhuận kế toán trước thuế,13. Tổng lợi nhuận kế toán trước thuế,50,,470.659.566.355,455.331.527.507,50.0,,470659566355.0,455331527507.0
14. Chi phí thuế TNDN hiện hành,14. Chi phí thuế TNDN hiện hành,14. Chi phí thuế TNDN hiện hành,51,5.7,19.838.707.613,-,51.0,57.0,19838707613.0,
15. Lợi nhuận sau thuế thu nhập doanh nghiệp,15. Lợi nhuận sau thuế thu nhập doanh nghiệp,15. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,450.820.858.742,455.331.527.507,60.0,,450820858742.0,455331527507.0
