row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2025,Ngày 31 tháng 12năm 2025_1,Ngày 31 tháng 12năm 2024(Trình bày lại),Ngày 31 tháng 12năm 2024(Trình bày lại)_1,numeric__Ngày 31 tháng 12năm 2025,numeric__Ngày 31 tháng 12năm 2025_1,numeric__Ngày 31 tháng 12năm 2024(Trình bày lại),numeric__Ngày 31 tháng 12năm 2024(Trình bày lại)_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",2.443.131,"0,29",2.104.559,"0,34",2443131.0,0.29,2104559.0,0.34
Khai khoáng,Khai khoáng,Khai khoáng,1.199.188,"0,14",1.519.641,"0,24",1199188.0,0.14,1519641.0,0.24
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",43.074.951,"5,09",31.042.642,"5,00",43074951.0,5.09,31042642.0,5.0
"Sản xuất và phân phối điện, khí đốt,nước nóng, hơi nước và điều hoảkhông khí","Sản xuất và phân phối điện, khí đốt,nước nóng, hơi nước và điều hoảkhông khí","Sản xuất và phân phối điện, khí đốt,nước nóng, hơi nước và điều hoảkhông khí",1.038.628,"0,12",861.118,"0,14",1038628.0,0.12,861118.0,0.14
"Cung cấp nước; hoạt động quản lý vàxử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý vàxử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý vàxử lý rác thải, nước thải",193.891,"0,02",146.670,"0,02",193891.0,0.02,146670.0,0.02
Xây dựng,Xây dựng,Xây dựng,53.903.075,"6,38",40.559.008,"6,55",53903075.0,6.38,40559008.0,6.55
"Bán buôn và bán lẻ; sửa chữa ô tô,mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô,mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô,mô tô, xe máy và xe có động cơ khác",105.015.752,"12,42",72.461.942,"11,67",105015752.0,12.42,72461942.0,11.67
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,12.417.698,"1,47",12.572.965,"2,03",12417698.0,1.47,12572965.0,2.03
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,48.340.431,"5,72",18.946.107,"3,05",48340431.0,5.72,18946107.0,3.05
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,2.140.303,"0,25",1.754.668,"0,28",2140303.0,0.25,1754668.0,0.28
"Hoạt động tải chính, ngân hàng và bảohiểm","Hoạt động tải chính, ngân hàng và bảohiểm","Hoạt động tải chính, ngân hàng và bảohiểm",49.943.620,"5,91",17.748.007,"2,86",49943620.0,5.91,17748007.0,2.86
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,199.296.744,"23,57",167.101.845,"26,92",199296744.0,23.57,167101845.0,26.92
"Hoạt động chuyên môn, khoa học vàcông nghệ","Hoạt động chuyên môn, khoa học vàcông nghệ","Hoạt động chuyên môn, khoa học vàcông nghệ",4.623.765,"0,55",3.320.412,"0,53",4623765.0,0.55,3320412.0,0.53
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,5.050.097,"0,60",2.937.827,"0,47",5050097.0,0.6,2937827.0,0.47
