row_label_raw,row_label_full,Công ty TNHH Quản lý tài sản Ngân hàng TMCP Việt Nam Thịnh Vương > Công ty Tài chính TNHH Ngân hàng Việt Nam Thịnh Vương SMBC (*),Ngày 31 tháng 12 năm 2025 > Giá trị gốcTriệu đồng > 115.000 > 5.576.018,"Ngày 31 tháng 12 năm 2025 > Tỷ lệ sở hữu % > 100,00 > 50,00",Ngày 31 tháng 12 năm 2024 > Giá trị gốcTriệu đồng > 115.000 > 5.576.018,"Ngày 31 tháng 12 năm 2024 > Tỷ lệ sở hữu % > 100,00 > 50,00",numeric__Ngày 31 tháng 12 năm 2025 > Giá trị gốcTriệu đồng > 115.000 > 5.576.018,"numeric__Ngày 31 tháng 12 năm 2025 > Tỷ lệ sở hữu % > 100,00 > 50,00",numeric__Ngày 31 tháng 12 năm 2024 > Giá trị gốcTriệu đồng > 115.000 > 5.576.018,"numeric__Ngày 31 tháng 12 năm 2024 > Tỷ lệ sở hữu % > 100,00 > 50,00"
Công ty Cổ phần Chứng khoán VPBank,Công ty Cổ phần Chứng khoán VPBank,Công ty Cổ phần Chứng khoán VPBank,15.083.267,"79,96",15.083.267,"99,9537",15083267.0,79.96,15083267.0,99.9537
Công ty cổ phần Báo hiểm OPES,Công ty cổ phần Báo hiểm OPES,Công ty cổ phần Báo hiểm OPES,1.799.700,"89,71",1.359.505,"99,13",1799700.0,89.71,1359505.0,99.13
Ngân hàng thương mại TNHH MTV Kỹ Nguyên Thịnh Vương (GPBank),Ngân hàng thương mại TNHH MTV Kỹ Nguyên Thịnh Vương (GPBank),Ngân hàng thương mại TNHH MTV Kỹ Nguyên Thịnh Vương (GPBank),-,"100,00",-,"0,00",,100.0,,0.0
,,,22.573.985,,22.133.790,,22573985.0,,22133790.0,
Dự phòng đầu tư vào công ty con,Dự phòng đầu tư vào công ty con,Dự phòng đầu tư vào công ty con,-,,(123.035),,,,-123035.0,
,,,22.573.985,,22.010.755,,22573985.0,,22010755.0,
