row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2025Triệu đồng,Ngày 31 tháng 12 năm 2024Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2025Triệu đồng,numeric__Ngày 31 tháng 12 năm 2024Triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,16,15.305,5.713,16.0,15305.0,5713.0
"Tiền gửi và vay Chính phủ, Ngân hàng Nhà nước","NỘ PHẢI TRẢ > Tiền gửi và vay Chính phủ, Ngân hàng Nhà nước","Tiền gửi và vay Chính phủ, Ngân hàng Nhà nước",,15.305,5.713,,15305.0,5713.0
"Tiền gửi và vay các tổ chức tải chính (""TCTC""), tổ chức tin dụng khác","NỘ PHẢI TRẢ > Tiền gửi và vay các tổ chức tải chính (""TCTC""), tổ chức tin dụng khác","Tiền gửi và vay các tổ chức tải chính (""TCTC""), tổ chức tin dụng khác",,265.044.030,190.191.628,,265044030.0,190191628.0
"Tiền gửi của các TCTC, TCTD khác","NỘ PHẢI TRẢ > Tiền gửi của các TCTC, TCTD khác","Tiền gửi của các TCTC, TCTD khác",17.1,137.838.762,111.820.871,171.0,137838762.0,111820871.0
"Vay các TCTC, TCTD khác","NỘ PHẢI TRẢ > Vay các TCTC, TCTD khác","Vay các TCTC, TCTD khác",17.2,127.205.268,78.370.757,172.0,127205268.0,78370757.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,18,631.346.161,485.735.737,18.0,631346161.0,485735737.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,957.220,32.213,8.0,957220.0,32213.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",19,16.394,10.894,19.0,16394.0,10894.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,20,90.587.709,46.596.226,20.0,90587709.0,46596226.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,25.526.951,16.974.628,,25526951.0,16974628.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",21.1,14.389.909,9.737.681,211.0,14389909.0,9737681.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,21.2,11.137.042,7.236.947,212.0,11137042.0,7236947.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,1.013.493.770,739.547.039,,1013493770.0,739547039.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn,VỐN CHỦ SỞ HỮU > Vốn,Vốn,,103.331.782,103.331.782,,103331782.0,103331782.0
- Vốn điều lệ,VỐN CHỦ SỞ HỮU > - Vốn điều lệ,- Vốn điều lệ,,79.339.236,79.339.236,,79339236.0,79339236.0
- Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > - Thặng dư vốn cổ phần,- Thặng dư vốn cổ phần,,23.992.546,23.992.546,,23992546.0,23992546.0
Các quỹ của TCTD,VỐN CHỦ SỞ HỮU > Các quỹ của TCTD,Các quỹ của TCTD,,16.120.267,12.110.197,,16120267.0,12110197.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,37.975.398,24.846.798,,37975398.0,24846798.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,23,157.427.447,140.288.777,23.0,157427447.0,140288777.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.170.921.217,879.835.816,,1170921217.0,879835816.0
