row_label_raw,row_label_full,Bên liên quan,Giao dịch,Số dư phải thu/(phải trả),Số dư phải thu/(phải trả)_1,numeric__Giao dịch,numeric__Số dư phải thu/(phải trả),numeric__Số dư phải thu/(phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Giao dịch,Ngày 31 tháng 12năm 2025Triệu đồng,Ngày 31 tháng 12năm 2024Triệu đồng,,,
VPB SMBCFC - Công ty con,Bên liên quan > VPB SMBCFC - Công ty con,VPB SMBCFC - Công ty con,Tiền gửi không kỳ hạn của Công ty con,(689.984),(227.945),,-689984.0,-227945.0
VPB SMBCFC - Công ty con,Bên liên quan > VPB SMBCFC - Công ty con,VPB SMBCFC - Công ty con,Tiền gửi có kỳ hạn của Công ty con,(420.000),(3.029.718),,-420000.0,-3029718.0
VPB SMBCFC - Công ty con,Bên liên quan > VPB SMBCFC - Công ty con,VPB SMBCFC - Công ty con,Phải trả lãi tiền gửi của Công ty con,(100),(342),,-100.0,-342.0
VPB SMBCFC - Công ty con,Bên liên quan > VPB SMBCFC - Công ty con,VPB SMBCFC - Công ty con,Tiền gửi có kỳ hạn tại Công ty con,23.040.000,24.480.000,,23040000.0,24480000.0
VPB SMBCFC - Công ty con,Bên liên quan > VPB SMBCFC - Công ty con,VPB SMBCFC - Công ty con,Phải thu lãi tiền gửi tại Công ty con,84.990,128.699,,84990.0,128699.0
VPB SMBCFC - Công ty con,Bên liên quan > VPB SMBCFC - Công ty con,VPB SMBCFC - Công ty con,Mua nợ gốc từ Công ty con,35.776,5.379.538,,35776.0,5379538.0
VPB AMC -Công ty con,Bên liên quan > VPB AMC -Công ty con,VPB AMC -Công ty con,Tiền gửi không kỳ hạn,(110),(345),,-110.0,-345.0
VPB AMC -Công ty con,Bên liên quan > VPB AMC -Công ty con,VPB AMC -Công ty con,Tiền gửi có kỳ hạn,(52.500),(39.600),,-52500.0,-39600.0
VPB AMC -Công ty con,Bên liên quan > VPB AMC -Công ty con,VPB AMC -Công ty con,Phải trả lãi tiền gửi,(46),(50),,-46.0,-50.0
VPBank S -Công ty con,Bên liên quan > VPBank S -Công ty con,VPBank S -Công ty con,Tiền gửi không kỳ hạn của Công ty con,(6.319.450),(2.296.702),,-6319450.0,-2296702.0
VPBank S -Công ty con,Bên liên quan > VPBank S -Công ty con,VPBank S -Công ty con,Tiền gửi có kỳ hạn của Công ty con,(2.420.000),-,,-2420000.0,
VPBank S -Công ty con,Bên liên quan > VPBank S -Công ty con,VPBank S -Công ty con,Phải trả lãi tiền gửi,(15.597),-,,-15597.0,
VPBank S -Công ty con,Bên liên quan > VPBank S -Công ty con,VPBank S -Công ty con,Phải thu từ hợp đồng phải sinh,30.177,1.427,,30177.0,1427.0
VPBank S -Công ty con,Bên liên quan > VPBank S -Công ty con,VPBank S -Công ty con,Phải trả từ hợp đồng phải sinh,(27.163),(1.359),,-27163.0,-1359.0
OPES -Công ty con,Bên liên quan > OPES -Công ty con,OPES -Công ty con,Tiền gửi không kỳ hạn của Công ty con,(302.347),(83.647),,-302347.0,-83647.0
OPES -Công ty con,Bên liên quan > OPES -Công ty con,OPES -Công ty con,Tiền gửi có kỳ hạn của Công ty con,(1.360.355),(9.145),,-1360355.0,-9145.0
OPES -Công ty con,Bên liên quan > OPES -Công ty con,OPES -Công ty con,Phải trả lãi tiền gửi,(7.221),(192),,-7221.0,-192.0
OPES -Công ty con,Bên liên quan > OPES -Công ty con,OPES -Công ty con,Phải thu kinh doanh bảo hiểm và thu khác,11.523,46.409,,11523.0,46409.0
OPES -Công ty con,Bên liên quan > OPES -Công ty con,OPES -Công ty con,Phải trả khác,(695),(3.747),,-695.0,-3747.0
GPBank -Công ty con (*),Bên liên quan > GPBank -Công ty con (*),GPBank -Công ty con (*),Tiền gửi không kỳ hạn của Công ty con,(9.958),-,,-9958.0,
GPBank -Công ty con (*),Bên liên quan > GPBank -Công ty con (*),GPBank -Công ty con (*),Tiền gửi có kỳ hạn của Công ty con,(3.760.548),-,,-3760548.0,
GPBank -Công ty con (*),Bên liên quan > GPBank -Công ty con (*),GPBank -Công ty con (*),Phải trả lãi tiền gửi của Công ty con,(1.028),-,,-1028.0,
GPBank -Công ty con (*),Bên liên quan > GPBank -Công ty con (*),GPBank -Công ty con (*),Giấy tờ có giá do VPBank phát hành,(1.000.000),-,,-1000000.0,
GPBank -Công ty con (*),Bên liên quan > GPBank -Công ty con (*),GPBank -Công ty con (*),Phải trả lãi phát hành GTCG,(44.753),-,,-44753.0,
SMBC -Cổ đông lớn,Bên liên quan > SMBC -Cổ đông lớn,SMBC -Cổ đông lớn,Vay từ SMBC,(41.954.334),(5.015.660),,-41954334.0,-5015660.0
SMBC -Cổ đông lớn,Bên liên quan > SMBC -Cổ đông lớn,SMBC -Cổ đông lớn,Phải trả lãi tiền vay,(435.881),(82.141),,-435881.0,-82141.0
SMBC -Cổ đông lớn,Bên liên quan > SMBC -Cổ đông lớn,SMBC -Cổ đông lớn,Phải thu từ hợp đồng phải sinh,105.909,216.238,,105909.0,216238.0
SMBC -Cổ đông lớn,Bên liên quan > SMBC -Cổ đông lớn,SMBC -Cổ đông lớn,Phải trả từ hợp đồng phải sinh,(95.133),(234.296),,-95133.0,-234296.0
SMBC -Cổ đông lớn,Bên liên quan > SMBC -Cổ đông lớn,SMBC -Cổ đông lớn,Chỉ phí trả trước chờ phân bổ,738.003,169.843,,738003.0,169843.0
SMBC -Cổ đông lớn,Bên liên quan > SMBC -Cổ đông lớn,SMBC -Cổ đông lớn,Tiền gửi không kỳ hạn của SMBC,(235.951),(408),,-235951.0,-408.0
SMBC -Cổ đông lớn,Bên liên quan > SMBC -Cổ đông lớn,SMBC -Cổ đông lớn,Tiền gửi không kỳ hạn tại SMBC,313.920,23.166,,313920.0,23166.0
SMBC -Cổ đông lớn,Bên liên quan > SMBC -Cổ đông lớn,SMBC -Cổ đông lớn,Tiền gửi có kỳ hạn tại SMBC,10.527.400,-,,10527400.0,
SMBC -Cổ đông lớn,Bên liên quan > SMBC -Cổ đông lớn,SMBC -Cổ đông lớn,Lãi phải thu từ tiền gửi tại SMBC,1.053,-,,1053.0,
