row_label_raw,row_label_full,col_0,Số dư đầu nămTriệu đồng,Phát sinh trong năm > Số phải nộpTriệu đồng,Phát sinh trong năm > Số đã nộpTriệu đồng,Số dư cuối nămTriệu đồng,numeric__Số dư đầu nămTriệu đồng,numeric__Phát sinh trong năm > Số phải nộpTriệu đồng,numeric__Phát sinh trong năm > Số đã nộpTriệu đồng,numeric__Số dư cuối nămTriệu đồng
Thuế giả trị gia tăng,Thuế giả trị gia tăng,Thuế giả trị gia tăng,94.030,637.366,(598.137),133.259,94030.0,637366.0,-598137.0,133259.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.414.421,5.252.200,(3.746.940),3.919.681,2414421.0,5252200.0,-3746940.0,3919681.0
Thuế khác,Thuế khác,Thuế khác,101.769,1.194.477,(1.225.058),71.188,101769.0,1194477.0,-1225058.0,71188.0
,,,2.610.220,7.084.043,(5.570.135),4.124.128,2610220.0,7084043.0,-5570135.0,4124128.0
