row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2025Triệu đồng,Ngày 31 tháng 12năm 2024Triệu đồng,numeric__Ngày 31 tháng 12năm 2025Triệu đồng,numeric__Ngày 31 tháng 12năm 2024Triệu đồng
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,1.368.037,71.589,1368037.0,71589.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,1.368.037,71.589,1368037.0,71589.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,9.769.005,7.165.358,9769005.0,7165358.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,37.597,20.452,37597.0,20452.0
Các khoản chờ chuyển tiền,Các khoản chờ chuyển tiền,Các khoản chờ chuyển tiền,543.005,768.674,543005.0,768674.0
Thuế và các khoản phải trả ngân sách,Thuế và các khoản phải trả ngân sách,Thuế và các khoản phải trả ngân sách,,,,
Nhà nước (Thuyết minh số 22),Thuế và các khoản phải trả ngân sách > Nhà nước (Thuyết minh số 22),Nhà nước (Thuyết minh số 22),4.124.128,2.610.220,4124128.0,2610220.0
Phải trả về hoạt động thanh toán,Thuế và các khoản phải trả ngân sách > Phải trả về hoạt động thanh toán,Phải trả về hoạt động thanh toán,3.206.202,1.661.891,3206202.0,1661891.0
Phải trả nhà cung cấp,Thuế và các khoản phải trả ngân sách > Phải trả nhà cung cấp,Phải trả nhà cung cấp,18.972,34.336,18972.0,34336.0
Tiền giữ hộ và đợi thanh toán,Thuế và các khoản phải trả ngân sách > Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,870.876,1.391.935,870876.0,1391935.0
Các khoản phải trả khác,Thuế và các khoản phải trả ngân sách > Các khoản phải trả khác,Các khoản phải trả khác,968.225,677.850,968225.0,677850.0
,,,11.137.042,7.236.947,11137042.0,7236947.0
