row_label_raw,row_label_full,col_0,Dự phòng chung,Dự phòng cụ thể,Tổng cộng(Trình bày lại),numeric__Dự phòng chung,numeric__Dự phòng cụ thể,numeric__Tổng cộng(Trình bày lại)
,,,Triệu đồng,Triệu đồng,Triệu đồng,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,3.691.208,4.689.239,8.380.447,3691208.0,4689239.0,8380447.0
Trích lập dự phòng rủi ro trong năm(Thuyết minh số 33),Trích lập dự phòng rủi ro trong năm(Thuyết minh số 33),Trích lập dự phòng rủi ro trong năm(Thuyết minh số 33),962.698,15.511.521,16.474.219,962698.0,15511521.0,16474219.0
Sử dụng dự phòng xử lý rủi ro tíndụng và bán nợ trong năm,Sử dụng dự phòng xử lý rủi ro tíndụng và bán nợ trong năm,Sử dụng dự phòng xử lý rủi ro tíndụng và bán nợ trong năm,(60.747),(13.659.074),(13.719.821),-60747.0,-13659074.0,-13719821.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.593.159,6.541.686,11.134.845,4593159.0,6541686.0,11134845.0
