row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Tổng giá trị hợp đồng (tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Tại ngày 31 tháng 12 năm 2025,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Dòng tiền vàoTriệu đồng > Tại ngày 31 tháng 12 năm 2025,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Dòng tiền raTriệu đồng > Tại ngày 31 tháng 12 năm 2025,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Giá trị thuấnTriệu đồng > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng giá trị hợp đồng (tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Dòng tiền vàoTriệu đồng > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Dòng tiền raTriệu đồng > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Giá trị thuấnTriệu đồng > Tại ngày 31 tháng 12 năm 2025
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,280.519.262,273.478.661,(273.890.819),(412.158),280519262.0,273478661.0,-273890819.0,-412158.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,24.642.959,24.505.404,(24.667.042),(161.638),24642959.0,24505404.0,-24667042.0,-161638.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,255.876.303,248.973.257,(249.223.777),(250.520),255876303.0,248973257.0,-249223777.0,-250520.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,74.706.115,50.277.375,(50.822.437),(545.062),74706115.0,50277375.0,-50822437.0,-545062.0
,,,355.225.377,323.756.036,(324.713.256),(957.220),355225377.0,323756036.0,-324713256.0,-957220.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,174.269.112,168.471.162,(167.867.987),603.175,174269112.0,168471162.0,-167867987.0,603175.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,36.417.208,36.108.740,(36.071.453),37.287,36417208.0,36108740.0,-36071453.0,37287.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,137.851.904,132.362.422,(131.796.534),565.888,137851904.0,132362422.0,-131796534.0,565888.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2024 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,74.648.583,24.252.977,(24.888.365),(635.388),74648583.0,24252977.0,-24888365.0,-635388.0
,,,248.917.695,192.724.139,(192.756.352),(32.213),248917695.0,192724139.0,-192756352.0,-32213.0
