row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bị dụngcụ quản lýTriệu đồng,Tài sân cốđịnh khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bị dụngcụ quản lýTriệu đồng,numeric__Tài sân cốđịnh khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,971.175,1.575.578,208.936,196.850,47.962,3.000.501,971175.0,1575578.0,208936.0,196850.0,47962.0,3000501.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,2.876,48.941,7.528,-,59.345,,2876.0,48941.0,7528.0,,59345.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,292.298,-,28.531,-,320.829,,292298.0,,28531.0,,320829.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.110),(7.610),(10.251),(14.863),(36.834),,-4110.0,-7610.0,-10251.0,-14863.0,-36834.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,971.175,1.866.642,250.267,222.658,33.099,3.343.841,971175.0,1866642.0,250267.0,222658.0,33099.0,3343841.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,174.130,1.106.276,133.760,145.056,47.955,1.607.177,174130.0,1106276.0,133760.0,145056.0,47955.0,1607177.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,24.679,274.350,24.897,30.132,7,354.065,24679.0,274350.0,24897.0,30132.0,7.0,354065.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.064),(7.610),(10.242),(14.863),(36.779),,-4064.0,-7610.0,-10242.0,-14863.0,-36779.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,198.809,1.376.562,151.047,164.946,33.099,1.924.463,198809.0,1376562.0,151047.0,164946.0,33099.0,1924463.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,797.045,469.302,75.176,51.794,7,1.393.324,797045.0,469302.0,75176.0,51794.0,7.0,1393324.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,772.366,490.080,99.220,57.712,-,1.419.378,772366.0,490080.0,99220.0,57712.0,,1419378.0
