row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Thăng dưvốn cổ phầnTriệu đồng,Quỹ dự trữbỗ sungvốn điều lệTriệu đồng,Quỹ dựphòng tài chínhTriệu đồng,Quỹ đầu tưphát triểnTriệu đồng,Lợi nhuậnchưa phânphốiTriệu đồng,Cổ phiếuquỹTriệu đồng,Tổng cộngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Thăng dưvốn cổ phầnTriệu đồng,numeric__Quỹ dự trữbỗ sungvốn điều lệTriệu đồng,numeric__Quỹ dựphòng tài chínhTriệu đồng,numeric__Quỹ đầu tưphát triểnTriệu đồng,numeric__Lợi nhuậnchưa phânphốiTriệu đồng,numeric__Cổ phiếuquỹTriệu đồng,numeric__Tổng cộngTriệu đồng
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,79.339.236,23.992.546,1.497.219,8.157.895,141.660,21.024.428,-,134.152.984,79339236.0,23992546.0,1497219.0,8157895.0,141660.0,21024428.0,,134152984.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,14.640.976,-,14.640.976,,,,,,14640976.0,,14640976.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,1.442.341,1.442.341,-,(2.884.682),-,-,,,1442341.0,1442341.0,,-2884682.0,,
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,(571.259),-,-,-,(571.259),,,,-571259.0,,,,-571259.0
Chia cổ tức năm 2023 cho cổ đông,Chia cổ tức năm 2023 cho cổ đông,Chia cổ tức năm 2023 cho cổ đông,-,-,-,-,-,(7.933.924),-,(7.933.924),,,,,,-7933924.0,,-7933924.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,79.339.236,23.992.546,2.939.560,9.028.977,141.660,24.846.798,-,140.288.777,79339236.0,23992546.0,2939560.0,9028977.0,141660.0,24846798.0,,140288777.0
Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,-,-,-,-,-,21.105.634,-,21.105.634,,,,,,21105634.0,,21105634.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,2.110.563,1.899.507,-,(4.010.070),-,-,,,2110563.0,1899507.0,,-4010070.0,,
Chia cổ tức năm 2024 cho cổ đông,Chia cổ tức năm 2024 cho cổ đông,Chia cổ tức năm 2024 cho cổ đông,-,-,-,-,-,(3.966.964),-,(3.966.964),,,,,,-3966964.0,,-3966964.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,79.339.236,23.992.546,5.050.123,10.928.484,141.660,37.975.398,-,157.427.447,79339236.0,23992546.0,5050123.0,10928484.0,141660.0,37975398.0,,157427447.0
