row_label_raw,row_label_full,col_0,Năm 2025Triệu đồng,Năm 2024Triệu đồng,numeric__Năm 2025Triệu đồng,numeric__Năm 2024Triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,8.564.104,6.795.052,8564104.0,6795052.0
Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,3.754.755,3.749.848,3754755.0,3749848.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,3.432.352,2.743.022,3432352.0,2743022.0
Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,9.349,1.715,9349.0,1715.0
Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,121.377,32.500,121377.0,32500.0
Thu từ hoạt động mua bán nợ,Thu từ hoạt động mua bán nợ,Thu từ hoạt động mua bán nợ,95.099,188.732,95099.0,188732.0
Thu từ phạt vi phạm hợp đồng,Thu từ phạt vi phạm hợp đồng,Thu từ phạt vi phạm hợp đồng,1.359,330,1359.0,330.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,1.149.813,78.905,1149813.0,78905.0
Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,(4.250.482),(4.195.367),-4250482.0,-4195367.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(3.961.419),(3.912.409),-3961419.0,-3912409.0
Chi về thanh lý tài sản khác,Chi về thanh lý tài sản khác,Chi về thanh lý tài sản khác,(112.513),(26.638),-112513.0,-26638.0
Chi khác,Chi khác,Chi khác,(176.550),(256.320),-176550.0,-256320.0
,,,4.313.622,2.599.685,4313622.0,2599685.0
