row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2025,Ngày 31 tháng 12năm 2024(Trình bày lại),numeric__Ngày 31 tháng 12năm 2025,numeric__Ngày 31 tháng 12năm 2024(Trình bày lại)
,,,Triệu đồng,Triệu đồng,,
Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,548.537,261.322,548537.0,261322.0
Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,7.639.919,4.355.315,7639919.0,4355315.0
- Mua hẩn miễn truy đổi bộ chứng từ theo thưtín dụng do chính ngân hàng phát hành,- Mua hẩn miễn truy đổi bộ chứng từ theo thưtín dụng do chính ngân hàng phát hành,- Mua hẩn miễn truy đổi bộ chứng từ theo thưtín dụng do chính ngân hàng phát hành,3.197.773,162.855,3197773.0,162855.0
- Mua hẩn miễn truy đổi bộ chứng từ theo thurtín dụng do TCTD khác phát hành,- Mua hẩn miễn truy đổi bộ chứng từ theo thurtín dụng do TCTD khác phát hành,- Mua hẩn miễn truy đổi bộ chứng từ theo thurtín dụng do TCTD khác phát hành,87.709,-,87709.0,
- Đặt cọc theo các hợp đồng kinh tế,- Đặt cọc theo các hợp đồng kinh tế,- Đặt cọc theo các hợp đồng kinh tế,1.329.586,1.338.649,1329586.0,1338649.0
- Phải thu về hoạt động thanh toán,- Phải thu về hoạt động thanh toán,- Phải thu về hoạt động thanh toán,2.169.215,1.414.058,2169215.0,1414058.0
- Tạm ứng nhà cung cấp,- Tạm ứng nhà cung cấp,- Tạm ứng nhà cung cấp,444.339,400.579,444339.0,400579.0
- Các khoản phải thu bên ngoài khác,- Các khoản phải thu bên ngoài khác,- Các khoản phải thu bên ngoài khác,411.297,1.039.174,411297.0,1039174.0
Mua sắm tài sản cố định,Mua sắm tài sản cố định,Mua sắm tài sản cố định,5.429.025,49.963,5429025.0,49963.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,9.166,5.017,9166.0,5017.0
,,,13.626.647,4.671.617,13626647.0,4671617.0
