row_label_raw,row_label_full,col_0,Năm 2025,Năm 2024(Trình bày lại),numeric__Năm 2025,numeric__Năm 2024(Trình bày lại)
,,,Triệu đồng,Triệu đồng,,
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,8.313.032,8.260.091,8313032.0,8260091.0
Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,2.125.295,3.486.029,2125295.0,3486029.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,177.319,108.008,177319.0,108008.0
Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,716.286,605.035,716286.0,605035.0
Thu phí liên quan đến các loại thể,Thu phí liên quan đến các loại thể,Thu phí liên quan đến các loại thể,2.064.300,2.270.082,2064300.0,2270082.0
Thu khác,Thu khác,Thu khác,3.229.832,1.790.937,3229832.0,1790937.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(4.224.477),(5.281.573),-4224477.0,-5281573.0
Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,(1.390.423),(2.134.793),-1390423.0,-2134793.0
Chi cho hoạt động thể,Chi cho hoạt động thể,Chi cho hoạt động thể,(1.199.043),(1.187.254),-1199043.0,-1187254.0
Hoa hồng môi giới,Hoa hồng môi giới,Hoa hồng môi giới,(81.573),(61.156),-81573.0,-61156.0
Chi khác,Chi khác,Chi khác,(1.553.438),(1.898.370),-1553438.0,-1898370.0
,,,4.088.555,2.978.518,4088555.0,2978518.0
