row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2025,Ngày 31 tháng 12năm 2025_1,Ngày 31 tháng 12năm 2024,Ngày 31 tháng 12năm 2024_1,numeric__Ngày 31 tháng 12năm 2025,numeric__Ngày 31 tháng 12năm 2025_1,numeric__Ngày 31 tháng 12năm 2024,numeric__Ngày 31 tháng 12năm 2024_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,2.339.098,"0,37",804.266,"0,17",2339098.0,0.37,804266.0,0.17
Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,1.685.701,"0,27",1.075.326,"0,22",1685701.0,0.27,1075326.0,0.22
Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,80.149,"0,01",205.354,"0,04",80149.0,0.01,205354.0,0.04
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,59.331.237,"9,40",35.421.712,"7,29",59331237.0,9.4,35421712.0,7.29
Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,3.318.903,"0,53",2.317.118,"0,48",3318903.0,0.53,2317118.0,0.48
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,201.755.456,"31,96",133.609.282,"27,50",201755456.0,31.96,133609282.0,27.5
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,2.155,"0,00",4.275,"0,00",2155.0,0.0,4275.0,0.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,588.407,"0,09",52.397,"0,01",588407.0,0.09,52397.0,0.01
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,3.546.653,"0,56",4.715.378,"0,97",3546653.0,0.56,4715378.0,0.97
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,120.660,"0,02",80.402,"0,02",120660.0,0.02,80402.0,0.02
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",353.454.877,"55,98",303.140.002,"62,41",353454877.0,55.98,303140002.0,62.41
"Đơn vị hành chính sự nghiệp, Đảng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đảng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đảng, đoàn thể và hiệp hội",4.975.266,"0,79",3.934.831,"0,81",4975266.0,0.79,3934831.0,0.81
Khác,Khác,Khác,147.599,"0,02",375.394,"0,08",147599.0,0.02,375394.0,0.08
,,,631.346.161,100,485.735.737,100,631346161.0,100.0,485735737.0,100.0
