row_label_raw,row_label_full,col_0,Quả hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quả hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
,,,Quả hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tải sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,2.774.182,-,-,-,-,-,-,2.774.182,,2774182.0,,,,,,,2774182.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tải sản > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,12.963.936,-,-,-,-,-,-,12.963.936,,12963936.0,,,,,,,12963936.0
Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,Tải sản > Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,-,-,187.724.318,14.838.040,850.987,32.822,-,-,203.446.167,,,187724318.0,14838040.0,850987.0,32822.0,,,203446167.0
Cho vay khách hàng và mua nợ - gộp,Tải sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,10.940.231,-,334.232.234,215.795.518,133.211.292,94.167.194,57.864.440,627.308,846.838.217,10940231.0,,334232234.0,215795518.0,133211292.0,94167194.0,57864440.0,627308.0,846838217.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,15.357,10.106.220,5.809.024,1.300.000,8.027.733,22.784.397,14.706.591,62.749.322,,15357.0,10106220.0,5809024.0,1300000.0,8027733.0,22784397.0,14706591.0,62749322.0
"Góp vốn, đầu tư dài hạn - gộp","Tải sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,22.763.195,-,-,-,-,-,-,22.763.195,,22763195.0,,,,,,,22763195.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,1.711.510,-,-,-,-,-,-,1.711.510,,1711510.0,,,,,,,1711510.0
Tải sản Cỏ khác - gộp,Tải sản > Tải sản Cỏ khác - gộp,Tải sản Cỏ khác - gộp,48.059,30.175.868,-,-,-,-,-,-,30.223.927,48059.0,30175868.0,,,,,,,30223927.0
