row_label_raw,row_label_full,Bên liên quan,Giao dịch,Số dư phải thu/(phải trả),Số dư phải thu/(phải trả)_1,numeric__Giao dịch,numeric__Số dư phải thu/(phải trả),numeric__Số dư phải thu/(phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Giao dịch,Ngày 31 tháng 12năm 2025Triệu đồng,Ngày 31 tháng 12năm 2024Triệu đồng,,,
CTCP CảngSài Gòn - CTdo VPBankđầu tư gópvốn dài hạntrên 5% vốnđiều lệ,Bên liên quan > CTCP CảngSài Gòn - CTdo VPBankđầu tư gópvốn dài hạntrên 5% vốnđiều lệ,CTCP CảngSài Gòn - CTdo VPBankđầu tư gópvốn dài hạntrên 5% vốnđiều lệ,Tiền gửi có kỳ hạn,(78.000),(16.000),,-78000.0,-16000.0
CTCP CảngSài Gòn - CTdo VPBankđầu tư gópvốn dài hạntrên 5% vốnđiều lệ,Bên liên quan > CTCP CảngSài Gòn - CTdo VPBankđầu tư gópvốn dài hạntrên 5% vốnđiều lệ,CTCP CảngSài Gòn - CTdo VPBankđầu tư gópvốn dài hạntrên 5% vốnđiều lệ,Tiền gửi không kỳ hạn,(701),(1.225),,-701.0,-1225.0
CTCP CảngSài Gòn - CTdo VPBankđầu tư gópvốn dài hạntrên 5% vốnđiều lệ,Bên liên quan > CTCP CảngSài Gòn - CTdo VPBankđầu tư gópvốn dài hạntrên 5% vốnđiều lệ,CTCP CảngSài Gòn - CTdo VPBankđầu tư gópvốn dài hạntrên 5% vốnđiều lệ,Phải trả lãi tiền gửi,(391),(276),,-391.0,-276.0
CTCP đầu TTMM Vinh(Vicentra),Bên liên quan > CTCP đầu TTMM Vinh(Vicentra),CTCP đầu TTMM Vinh(Vicentra),Tiền gửi không kỳ hạn,(42),(741),,-42.0,-741.0
Công tyTNHH MTVEFFEXI,Bên liên quan > Công tyTNHH MTVEFFEXI,Công tyTNHH MTVEFFEXI,Tiền gửi không kỳ hạn,(209),(227),,-209.0,-227.0
Công tyTNHH MTVRostra,Bên liên quan > Công tyTNHH MTVRostra,Công tyTNHH MTVRostra,Tiền gửi không kỳ hạn,(3.463),(6.248),,-3463.0,-6248.0
CTCP Diera,Bên liên quan > CTCP Diera,CTCP Diera,Tiền gửi không kỳ hạn,(4.960),(2.623),,-4960.0,-2623.0
CT TNHHMTV XuồngPhim MâuHồng,Bên liên quan > CT TNHHMTV XuồngPhim MâuHồng,CT TNHHMTV XuồngPhim MâuHồng,Tiền gửi không kỳ hạn,(210),(101),,-210.0,-101.0
CT TNHHMTV TiaNăng Hạ,Bên liên quan > CT TNHHMTV TiaNăng Hạ,CT TNHHMTV TiaNăng Hạ,Tiền gửi không kỳ hạn,(1.143),(52),,-1143.0,-52.0
CT TNHHMTV TiaNăng Hạ,Bên liên quan > CT TNHHMTV TiaNăng Hạ,CT TNHHMTV TiaNăng Hạ,Tiền gửi có kỳ hạn,(4.000),(2.150),,-4000.0,-2150.0
CT TNHHMTV TiaNăng Hạ,Bên liên quan > CT TNHHMTV TiaNăng Hạ,CT TNHHMTV TiaNăng Hạ,Lãi phải trả tiền gửi,(16),(2),,-16.0,-2.0
CTCPEurowindow,Bên liên quan > CTCPEurowindow,CTCPEurowindow,Tiền gửi không kỳ hạn,(353),-,,-353.0,
CTCPEurowindow,Bên liên quan > CTCPEurowindow,CTCPEurowindow,Cho vay khách hàng,321.860,-,,321860.0,
CTCPEurowindow,Bên liên quan > CTCPEurowindow,CTCPEurowindow,Phải thu lãi tiền vay,781,-,,781.0,
CTCP-TCTcông trìnhđường sắtViệt Nam,Bên liên quan > CTCP-TCTcông trìnhđường sắtViệt Nam,CTCP-TCTcông trìnhđường sắtViệt Nam,Tiền gửi không kỳ hạn,(30.533),-,,-30533.0,
"Các thànhviên HDQT,BKS, BanTGD và cáccá nhân cóliên quan","Bên liên quan > Các thànhviên HDQT,BKS, BanTGD và cáccá nhân cóliên quan","Các thànhviên HDQT,BKS, BanTGD và cáccá nhân cóliên quan",Tiền gửi có kỳ hạn và giấy tờ có giá,(310.386),(64.710),,-310386.0,-64710.0
"Các thànhviên HDQT,BKS, BanTGD và cáccá nhân cóliên quan","Bên liên quan > Các thànhviên HDQT,BKS, BanTGD và cáccá nhân cóliên quan","Các thànhviên HDQT,BKS, BanTGD và cáccá nhân cóliên quan",Tiền gửi không kỳ hạn,(21.872),(28.716),,-21872.0,-28716.0
"Các thànhviên HDQT,BKS, BanTGD và cáccá nhân cóliên quan","Bên liên quan > Các thànhviên HDQT,BKS, BanTGD và cáccá nhân cóliên quan","Các thànhviên HDQT,BKS, BanTGD và cáccá nhân cóliên quan",Phải trả lãi tiền gửi và giấy tờ có giá,(1.973),(301),,-1973.0,-301.0
"Các thànhviên HDQT,BKS, BanTGD và cáccá nhân cóliên quan","Bên liên quan > Các thànhviên HDQT,BKS, BanTGD và cáccá nhân cóliên quan","Các thànhviên HDQT,BKS, BanTGD và cáccá nhân cóliên quan",Thẻ tín dụng,9.218,1.006,,9218.0,1006.0
