row_label_raw,row_label_full,Bên liên quan,Giao dịch,Giá trị > Năm 2025Triệu đồng,Giá trị > Năm 2024Triệu đồng,numeric__Giao dịch,numeric__Giá trị > Năm 2025Triệu đồng,numeric__Giá trị > Năm 2024Triệu đồng
Công ty,Công ty,Công ty,Doanh thu khác,3,-,,3.0,
TNHH MTV,TNHH MTV,TNHH MTV,Thu phí dịch vụ khác,-,13,,,13.0
Rostra,Rostra,Rostra,Chi phí lãi tiền gửi,(8),(11),,-8.0,-11.0
CTCP Diera,CTCP Diera,CTCP Diera,Chi phí lãi tiền gửi,(10),(14),,-10.0,-14.0
Corp,Corp,Corp,Thu phí dịch vụ khác,-,10,,,10.0
CT TNHH,CT TNHH,CT TNHH,Thu phí dịch vụ khác,4,4,,4.0,4.0
MTV Xưởng,MTV Xưởng,MTV Xưởng,Chi phí lãi tiền gửi,(1),(1),,-1.0,-1.0
Phim Mâu Hồng,Phim Mâu Hồng,Phim Mâu Hồng,Chi phí dịch vụ khác,-,(1),,,-1.0
CT TNHH,CT TNHH,CT TNHH,Thu phí dịch vụ khác,5,4,,5.0,4.0
MTV Tia,MTV Tia,MTV Tia,Doanh thu khác,1,-,,1.0,
Nắng Hạ,Nắng Hạ,Nắng Hạ,Chi phí lãi tiền gửi,-,(1),,,-1.0
,,,Chi phí dịch vụ khác,-,(1),,,-1.0
,,,Nhận tiền gửi có kỳ hạn,14.602,-,,14602.0,
,,,Trả tiền gửi có kỳ hạn,(12.752),-,,-12752.0,
CTCP,CTCP,CTCP,Doanh thu lãi cho vay,20.223,-,,20223.0,
Eurowindow,Eurowindow,Eurowindow,Doanh thu khác,86,-,,86.0,
,,,Chi phí lãi tiền gửi,-,(1),,,-1.0
,,,Chi phí dịch vụ khác,-,(1),,,-1.0
CTCP-TCT công trình đường sắt Việt Nam,CTCP-TCT công trình đường sắt Việt Nam,CTCP-TCT công trình đường sắt Việt Nam,Doanh thu khác,4,-,,4.0,
"Các thành viên HĐQT, BKS, Ban TGD và các cá nhân có liên quan","Các thành viên HĐQT, BKS, Ban TGD và các cá nhân có liên quan","Các thành viên HĐQT, BKS, Ban TGD và các cá nhân có liên quan",Chi phí lãi tiền gửi,(5.905),(6.977),,-5905.0,-6977.0
"Các thành viên HĐQT, BKS, Ban TGD và các cá nhân có liên quan","Các thành viên HĐQT, BKS, Ban TGD và các cá nhân có liên quan","Các thành viên HĐQT, BKS, Ban TGD và các cá nhân có liên quan",Nhận tiền gửi có kỳ hạn,999.117,1.649.915,,999117.0,1649915.0
"Các thành viên HĐQT, BKS, Ban TGD và các cá nhân có liên quan","Các thành viên HĐQT, BKS, Ban TGD và các cá nhân có liên quan","Các thành viên HĐQT, BKS, Ban TGD và các cá nhân có liên quan",Rút tiền gửi có kỳ hạn,(778.348),(1.751.165),,-778348.0,-1751165.0
