row_label_raw,row_label_full,col_0,Năm 2024(Dã được trìnhbảy trước đây)Triệu đồng,Phân loại lạiTriệu đồng,Năm 2024(Phân loại lại)Triệu đồng,numeric__Năm 2024(Dã được trìnhbảy trước đây)Triệu đồng,numeric__Phân loại lạiTriệu đồng,numeric__Năm 2024(Phân loại lại)Triệu đồng
Bảo cáo kết quả hoạt động riêng,Bảo cáo kết quả hoạt động riêng,Bảo cáo kết quả hoạt động riêng,Bảo cáo kết quả hoạt động riêng,Bảo cáo kết quả hoạt động riêng,Bảo cáo kết quả hoạt động riêng,,,
Thu nhập lãi và các khoản thu nhậptrương tự,Bảo cáo kết quả hoạt động riêng > Thu nhập lãi và các khoản thu nhậptrương tự,Thu nhập lãi và các khoản thu nhậptrương tự,64.925.605,921.995,65.847.600,64925605.0,921995.0,65847600.0
Thu nhập lãi thuần,Bảo cáo kết quả hoạt động riêng > Thu nhập lãi thuần,Thu nhập lãi thuần,36.333.700,921.995,37.255.695,36333700.0,921995.0,37255695.0
Thu nhập từ hoạt động dịch vụ,Bảo cáo kết quả hoạt động riêng > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,9.182.086,(921.995),8.260.091,9182086.0,-921995.0,8260091.0
Lãi thuần từ hoạt động dịch vụ,Bảo cáo kết quả hoạt động riêng > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,3.900.513,(921.995),2.978.518,3900513.0,-921995.0,2978518.0
Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,,,
Thu nhập lãi và các khoản thu nhậptrương tự nhận được,Bảo cáo lưu chuyển tiền tệ riêng > Thu nhập lãi và các khoản thu nhậptrương tự nhận được,Thu nhập lãi và các khoản thu nhậptrương tự nhận được,64.502.736,921.995,65.424.731,64502736.0,921995.0,65424731.0
Thu nhập từ hoạt động dịch vụ nhậnđược,Bảo cáo lưu chuyển tiền tệ riêng > Thu nhập từ hoạt động dịch vụ nhậnđược,Thu nhập từ hoạt động dịch vụ nhậnđược,4.675.796,(921.995),3.753.801,4675796.0,-921995.0,3753801.0
Tăng các khoản cho vay khách hàngvà mua nợ,Bảo cáo lưu chuyển tiền tệ riêng > Tăng các khoản cho vay khách hàngvà mua nợ,Tăng các khoản cho vay khách hàngvà mua nợ,(121.230.814),23.104.751,(98.126.063),-121230814.0,23104751.0,-98126063.0
(Tăng)/giảm khác về tài sản hoạt động,Bảo cáo lưu chuyển tiền tệ riêng > (Tăng)/giảm khác về tài sản hoạt động,(Tăng)/giảm khác về tài sản hoạt động,23.675.811,(23.104.751),571.060,23675811.0,-23104751.0,571060.0
