row_label_raw,row_label_full,col_0,Thuyết minh,Năm 2025Triệu đồng,Năm 2024(Trình bày lại)Triệu đồng,numeric__Thuyết minh,numeric__Năm 2025Triệu đồng,numeric__Năm 2024(Trình bày lại)Triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,24,83.625.678,65.847.600,24.0,83625678.0,65847600.0
Chi phí lãi và các khoản chi phí tương tự,Chi phí lãi và các khoản chi phí tương tự,Chi phí lãi và các khoản chi phí tương tự,25,(39.269.589),(28.591.905),25.0,-39269589.0,-28591905.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,44.356.089,37.255.695,,44356089.0,37255695.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,8.313.032,8.260.091,,8313032.0,8260091.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(4.224.477),(5.281.573),,-4224477.0,-5281573.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,26,4.088.555,2.978.518,26.0,4088555.0,2978518.0
Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,27,319.604,775.980,27.0,319604.0,775980.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,28,1.677,41.788,28.0,1677.0,41788.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,29,18.345,410.904,29.0,18345.0,410904.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,8.564.104,6.795.052,,8564104.0,6795052.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,,(4.250.482),(4.195.367),,-4250482.0,-4195367.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,30,4.313.622,2.599.685,30.0,4313622.0,2599685.0
Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,31,283.657,230.370,31.0,283657.0,230370.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,53.381.549,44.292.940,,53381549.0,44292940.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,32,(13.568.149),(9.612.510),32.0,-13568149.0,-9612510.0
Lãi thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lãi thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lãi thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,39.813.400,34.680.430,,39813400.0,34680430.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,33,(13.449.234),(16.420.177),33.0,-13449234.0,-16420177.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,26.364.166,18.260.253,,26364166.0,18260253.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,22.1,(5.252.200),(3.622.791),221.0,-5252200.0,-3622791.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,(6.332),3.514,,-6332.0,3514.0
Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,22,(5.258.532),(3.619.277),22.0,-5258532.0,-3619277.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,21.105.634,14.640.976,,21105634.0,14640976.0
