row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2025,Ngày 31 tháng 12năm 2025_1,Ngày 31 tháng 12năm 2024(Trình bày lại),Ngày 31 tháng 12năm 2024(Trình bày lại)_1,numeric__Ngày 31 tháng 12năm 2025,numeric__Ngày 31 tháng 12năm 2025_1,numeric__Ngày 31 tháng 12năm 2024(Trình bày lại),numeric__Ngày 31 tháng 12năm 2024(Trình bày lại)_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,108.617,"0,01",129.748,"0,02",108617.0,0.01,129748.0,0.02
Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,44.665,"0,01",7.852,"0,00",44665.0,0.01,7852.0,0.0
Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chỉ phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chỉ phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chỉ phối,2.267,"0,00",75.336,"0,01",2267.0,0.0,75336.0,0.01
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,281.545.876,"33,30",170.570.915,"27,48",281545876.0,33.3,170570915.0,27.48
Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,20.728,"0,00",93.813,"0,02",20728.0,0.0,93813.0,0.02
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,229.618.943,"27,16",182.824.169,"29,44",229618943.0,27.16,182824169.0,29.44
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,2.233,"0,00",1.002,"0,00",2233.0,0.0,1002.0,0.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,380.631,"0,05",51.021,"0,01",380631.0,0.05,51021.0,0.01
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,998.058,"0,12",3.770.491,"0,61",998058.0,0.12,3770491.0,0.61
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,116.981,"0,01",60.237,"0,01",116981.0,0.01,60237.0,0.01
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",332.564.160,"39,34",263.187.588,"42,40",332564160.0,39.34,263187588.0,42.4
"Đơn vị hành chính sự nghiệp, Đằng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đằng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đằng, đoàn thể và hiệp hội",37.645,"0,00",3.003,"0,00",37645.0,0.0,3003.0,0.0
Khác,Khác,Khác,2,"0,00",2,"0,00",2.0,0.0,2.0,0.0
,,,845.440.806,100,620.775.177,100,845440806.0,100.0,620775177.0,100.0
