row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2025 > Giá trị gốcTriệu đồng,Ngày 31 tháng 12 năm 2025 > Tỷ lệ sở hữu %,Ngày 31 tháng 12 năm 2024 > Giá trị gốcTriệu đồng,Ngày 31 tháng 12 năm 2024 > Tỷ lệ sở hữu %,numeric__Ngày 31 tháng 12 năm 2025 > Giá trị gốcTriệu đồng,numeric__Ngày 31 tháng 12 năm 2025 > Tỷ lệ sở hữu %,numeric__Ngày 31 tháng 12 năm 2024 > Giá trị gốcTriệu đồng,numeric__Ngày 31 tháng 12 năm 2024 > Tỷ lệ sở hữu %
Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,,,,
Công ty Cổ phần Thông tin tin dụng (PCB),Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Thông tin tin dụng (PCB),Công ty Cổ phần Thông tin tin dụng (PCB),3.934,"3,28",3.934,"3,28",3934.0,3.28,3934.0,3.28
Công ty Cổ phần Căng Sài Gòn,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Căng Sài Gòn,Công ty Cổ phần Căng Sài Gòn,185.276,"7,44",185.276,"7,44",185276.0,7.44,185276.0,7.44
,,,189.210,,189.210,,189210.0,,189210.0,
