row_label_raw,row_label_full,col_0,Năm 2025Triệu đồng,Năm 2024Triệu đồng,numeric__Năm 2025Triệu đồng,numeric__Năm 2024Triệu đồng
Lợi nhuận thuần trước thuế TNDNCộng/(Trừ):,Lợi nhuận thuần trước thuế TNDNCộng/(Trừ):,Lợi nhuận thuần trước thuế TNDNCộng/(Trừ):,26.364.166,18.260.253,26364166.0,18260253.0
- Thu nhập từ cổ tức không chịu thuế,- Thu nhập từ cổ tức không chịu thuế,- Thu nhập từ cổ tức không chịu thuế,(210.937),(230.370),-210937.0,-230370.0
- Chi phí không được khấu trừ,- Chi phí không được khấu trừ,- Chi phí không được khấu trừ,139.193,48.560,139193.0,48560.0
- Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,(65.722),(4.742),-65722.0,-4742.0
Thu nhập chịu thuế uốc tính trong năm,Thu nhập chịu thuế uốc tính trong năm,Thu nhập chịu thuế uốc tính trong năm,26.226.700,18.073.701,26226700.0,18073701.0
Chi phí thuế TNDN theo thuế suất hiện hành,Chi phí thuế TNDN theo thuế suất hiện hành,Chi phí thuế TNDN theo thuế suất hiện hành,5.245.340,3.614.740,5245340.0,3614740.0
Điều chỉnh thuế TNDN năm trước,Điều chỉnh thuế TNDN năm trước,Điều chỉnh thuế TNDN năm trước,6.860,8.051,6860.0,8051.0
Chi phí thuế TNDN trong năm,Chi phí thuế TNDN trong năm,Chi phí thuế TNDN trong năm,5.252.200,3.622.791,5252200.0,3622791.0
Số thuế TNDN phải nộp phát sinh trong năm,Số thuế TNDN phải nộp phát sinh trong năm,Số thuế TNDN phải nộp phát sinh trong năm,5.252.200,3.622.791,5252200.0,3622791.0
Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,2.414.421,2.015.474,2414421.0,2015474.0
Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(3.746.940),(3.223.844),-3746940.0,-3223844.0
Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,3.919.681,2.414.421,3919681.0,2414421.0
