row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2025 > Triệu đồng,Ngày 31 tháng 12 năm 2024 (Trình bày lại) > Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2025 > Triệu đồng,numeric__Ngày 31 tháng 12 năm 2024 (Trình bày lại) > Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,2.774.182,2.148.289,5.0,2774182.0,2148289.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,12.963.936,13.733.896,6.0,12963936.0,13733896.0
"Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác","TÀI SẢN > Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác","Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác",,203.446.167,156.621.197,,203446167.0,156621197.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,196.017.568,148.504.815,71.0,196017568.0,148504815.0
Cấp tín dụng cho các TCTD khác,TÀI SẢN > Cấp tín dụng cho các TCTD khác,Cấp tín dụng cho các TCTD khác,7.2,7.428.599,8.116.382,72.0,7428599.0,8116382.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,832.975.811,609.640.332,,832975811.0,609640332.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,9,845.440.806,620.775.177,9.0,845440806.0,620775177.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,10,(12.464.995),(11.134.845),10.0,-12464995.0,-11134845.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,11,1.387.097,6.129.409,11.0,1387097.0,6129409.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,1.397.411,6.185.407,,1397411.0,6185407.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(10.314),(55.998),,-10314.0,-55998.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,62.720.458,51.054.855,,62720458.0,51054855.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.1,62.749.322,50.124.274,121.0,62749322.0,50124274.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,-,992.927,122.0,,992927.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,12.3,(28.864),(62.346),123.0,-28864.0,-62346.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",,22.763.195,22.199.965,,22763195.0,22199965.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,13.1,22.573.985,22.133.790,131.0,22573985.0,22133790.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,13.2,189.210,189.210,132.0,189210.0,189210.0
Dự phòng đầu tư dài hạn,TÀI SẢN > Dự phòng đầu tư dài hạn,Dự phòng đầu tư dài hạn,13.3,-,(123.035),133.0,,-123035.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,1.711.510,1.693.650,,1711510.0,1693650.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14.1,1.419.378,1.393.324,141.0,1419378.0,1393324.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,3.343.841,3.000.501,,3343841.0,3000501.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(1.924.463),(1.607.177),,-1924463.0,-1607177.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,14.2,292.132,300.326,142.0,292132.0,300326.0
