row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay khách hàng,Tổng tiền gửi,Các cam kết tín dụng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay khách hàng,numeric__Tổng tiền gửi,numeric__Các cam kết tín dụng,numeric__CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán
Trong nước,Trong nước,Trong nước,71.174.720,106.221.040,5.667.838,10.950.329,18.875.793,71174720.0,106221040.0,5667838.0,10950329.0,18875793.0
Ngoài nước,Ngoài nước,Ngoài nước,-,-,-,-,-,,,,,
