row_label_raw,row_label_full,"26. Tỉnh hình thu nhập của cán bộ, công nhân viên > Số lượng nhân viên ngày 31 tháng 12",Năm 2024 > 2.060,Năm 2023 > 1.952,numeric__Năm 2024 > 2.060,numeric__Năm 2023 > 1.952
"I. Bình quân số cán bộ, công nhân viên","I. Bình quân số cán bộ, công nhân viên","I. Bình quân số cán bộ, công nhân viên",2.006,2.033,2006.0,2033.0
"II. Thu nhập của cán bộ, công nhân viên","II. Thu nhập của cán bộ, công nhân viên","II. Thu nhập của cán bộ, công nhân viên",,,,
1. Tổng quỹ lương,"II. Thu nhập của cán bộ, công nhân viên > 1. Tổng quỹ lương",1. Tổng quỹ lương,710.089,575.088,710089.0,575088.0
2. Tiền thường,2. Tiền thường,2. Tiền thường,-,-,,
3. Thu nhập khác,2. Tiền thường > 3. Thu nhập khác,3. Thu nhập khác,35.322,1.206,35322.0,1206.0
4. Tổng thu nhập (1+2+3),2. Tiền thường > 4. Tổng thu nhập (1+2+3),4. Tổng thu nhập (1+2+3),745.411,576.294,745411.0,576294.0
5. Tiền lương bình quân (đồng/người/tháng),2. Tiền thường > 5. Tiền lương bình quân (đồng/người/tháng),5. Tiền lương bình quân (đồng/người/tháng),"29,50","23,57",29.5,23.57
6. Thu nhập bình quân (đồng/người/tháng),2. Tiền thường > 6. Thu nhập bình quân (đồng/người/tháng),6. Thu nhập bình quân (đồng/người/tháng),"30,97","23,62",30.97,23.62
