row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,44.017,159.514,76.066,81.984,437,362.018,44017.0,159514.0,76066.0,81984.0,437.0,362018.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,-,32.401,691,37.263,-,70.355,,32401.0,691.0,37263.0,,70355.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(202),(4.958),(7.153),(24.226),(404),(36.943),-202.0,-4958.0,-7153.0,-24226.0,-404.0,-36943.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,43.815,186.957,69.604,95.021,33,395.430,43815.0,186957.0,69604.0,95021.0,33.0,395430.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,14.874,77.685,39.526,59.512,280,191.877,14874.0,77685.0,39526.0,59512.0,280.0,191877.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.430,15.419,5.473,7.827,-,30.149,1430.0,15419.0,5473.0,7827.0,,30149.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(188),(4.928),(7.153),(21.406),(247),(33.922),-188.0,-4928.0,-7153.0,-21406.0,-247.0,-33922.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,16.116,88.176,37.846,45.933,33,188.104,16116.0,88176.0,37846.0,45933.0,33.0,188104.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,29.143,81.829,36.540,22.472,157,170.141,29143.0,81829.0,36540.0,22472.0,157.0,170141.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,27.699,98.781,31.758,49.088,-,207.326,27699.0,98781.0,31758.0,49088.0,,207326.0
- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,31/12/2024,31/12/2023,,,,,,,,
* Cam kết mua TSCĐ có giá trị lớn trong tương lai,- Các thông tin khác về tài sản cố định hữu hình: > * Cam kết mua TSCĐ có giá trị lớn trong tương lai,* Cam kết mua TSCĐ có giá trị lớn trong tương lai,* Cam kết mua TSCĐ có giá trị lớn trong tương lai,* Cam kết mua TSCĐ có giá trị lớn trong tương lai,46.357,5.736,,,,,46357.0,5736.0,,
* Nguyên giá tài sản cố định đã khấu hao hết,- Các thông tin khác về tài sản cố định hữu hình: > * Nguyên giá tài sản cố định đã khấu hao hết,* Nguyên giá tài sản cố định đã khấu hao hết,* Nguyên giá tài sản cố định đã khấu hao hết,* Nguyên giá tài sản cố định đã khấu hao hết,79.973,95.402,,,,,79973.0,95402.0,,
