row_label_raw,row_label_full,Khoản mục,Giá trị (triệu đồng),numeric__Giá trị (triệu đồng)
Thodi lãi dự thu cho vay và đầu tư chứng khoán nợ,Thodi lãi dự thu cho vay và đầu tư chứng khoán nợ,Thodi lãi dự thu cho vay và đầu tư chứng khoán nợ,2.796.462,2796462.0
Chi phí xử lý các khoản tài sản có khác,Chi phí xử lý các khoản tài sản có khác,Chi phí xử lý các khoản tài sản có khác,28.054,28054.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,5.827,5827.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,28.606,28606.0
Chi phí dự phòng rủi ro khác,Chi phí dự phòng rủi ro khác,Chi phí dự phòng rủi ro khác,1.726.888,1726888.0
Tổng cộng chi phí thực hiện theo PACCL (a),Tổng cộng chi phí thực hiện theo PACCL (a),Tổng cộng chi phí thực hiện theo PACCL (a),4.585.837,4585837.0
Lợi nhuận sau thuế Thu nhập doanh nghiệp sau thực hiện PACCL (b),Lợi nhuận sau thuế Thu nhập doanh nghiệp sau thực hiện PACCL (b),Lợi nhuận sau thuế Thu nhập doanh nghiệp sau thực hiện PACCL (b),(5.140.105),-5140105.0
Lợi nhuận sau thuế Thu nhập doanh nghiệp trước thực hiện PACCL (c=a+b),Lợi nhuận sau thuế Thu nhập doanh nghiệp trước thực hiện PACCL (c=a+b),Lợi nhuận sau thuế Thu nhập doanh nghiệp trước thực hiện PACCL (c=a+b),(554.268),-554268.0
