row_label_raw,row_label_full,11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác_1,11. Tiền gửi và vay các TCTD khác_2,numeric__11. Tiền gửi và vay các TCTD khác_1,numeric__11. Tiền gửi và vay các TCTD khác_2
11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,31/12/2024,31/12/2023,,
a. Tiền gửi không kỳ hạn,11.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,7.536.450,5.023.296,7536450.0,5023296.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,7.536.383,5.023.229,7536383.0,5023229.0
- Bằng ngoại hối,11.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,67,67,67.0,67.0
b. Tiền gửi có kỳ hạn,11.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,2.500.000,4.007.005,2500000.0,4007005.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,2.500.000,4.007.005,2500000.0,4007005.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,-,-,,
Cộng,- Bằng ngoại hối > Cộng,Cộng,10.036.450,9.030.301,10036450.0,9030301.0
11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,31/12/2024,31/12/2023,,
- Bằng VND,- Bằng VND,- Bằng VND,-,-,,
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,-,-,,
Cộng,Cộng,Cộng,-,-,,
Tổng cộng tiền gửi và vay các TCTD khác,Cộng > Tổng cộng tiền gửi và vay các TCTD khác,Tổng cộng tiền gửi và vay các TCTD khác,10.036.450,9.030.301,10036450.0,9030301.0
12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,,
- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,31/12/2024,31/12/2023,,
Tiền gửi không kỳ hạn,- Thuyết minh theo loại tiền gửi > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,9.086.482,4.608.362,9086482.0,4608362.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,8.816.331,4.329.314,8816331.0,4329314.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,270.151,279.048,270151.0,279048.0
Tiền gửi có kỳ hạn,- Thuyết minh theo loại tiền gửi > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,86.845.912,71.988.138,86845912.0,71988138.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,86.780.234,71.908.816,86780234.0,71908816.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,65.678,79.322,65678.0,79322.0
Tiền gửi vốn chuyên dùng,- Thuyết minh theo loại tiền gửi > Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,288,283,288.0,283.0
Tiền gửi ký quỹ,- Thuyết minh theo loại tiền gửi > Tiền gửi ký quỹ,Tiền gửi ký quỹ,251.908,279.076,251908.0,279076.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,251.907,277.159,251907.0,277159.0
- Bằng ngoại hối,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hối,- Bằng ngoại hối,1,1.917,1.0,1917.0
Tổng cộng,- Thuyết minh theo loại tiền gửi > Tổng cộng,Tổng cộng,96.184.590,76.875.859,96184590.0,76875859.0
"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp",31/12/2024,31/12/2023,,
Tiền gửi của TCKT,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của TCKT",Tiền gửi của TCKT,9.162.294,6.132.205,9162294.0,6132205.0
Doanh nghiệp nhà nước,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp nhà nước",Doanh nghiệp nhà nước,1.948.689,1.639.615,1948689.0,1639615.0
"Công ty CP, TNHH, Hợp danh","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty CP, TNHH, Hợp danh","Công ty CP, TNHH, Hợp danh",6.748.016,3.603.168,6748016.0,3603168.0
Doanh nghiệp tư nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp tư nhân",Doanh nghiệp tư nhân,14.910,1.190,14910.0,1190.0
"Công ty chứng khoán, bảo hiểm, tài chính","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty chứng khoán, bảo hiểm, tài chính","Công ty chứng khoán, bảo hiểm, tài chính",90.505,108.875,90505.0,108875.0
"Kinh tế cá thể, Kinh tế tập thể","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Kinh tế cá thể, Kinh tế tập thể","Kinh tế cá thể, Kinh tế tập thể",344.160,752.073,344160.0,752073.0
Doanh nghiệp có vốn đầu tư nước ngoài,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp có vốn đầu tư nước ngoài",Doanh nghiệp có vốn đầu tư nước ngoài,16.014,27.285,16014.0,27285.0
Tiền gửi của cá nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của cá nhân",Tiền gửi của cá nhân,87.022.296,70.743.654,87022296.0,70743654.0
Tổng cộng,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tổng cộng",Tổng cộng,96.184.590,76.875.859,96184590.0,76875859.0
