row_label_raw,row_label_full,col_0,NGUỒN VỐN,MS,TM,31/12/2025VND,01/01/2025VND,numeric__NGUỒN VỐN,numeric__MS,numeric__TM,numeric__31/12/2025VND,numeric__01/01/2025VND
C-,C-,C-,NỘ PHẢI TRẢ (300=310+330),300,,936.509.523.780,948.741.659.836,,300.0,,936509523780.0,948741659836.0
I.,I.,I.,Nợ ngắn hạn,310,,198.774.512.096,139.167.082.495,,310.0,,198774512096.0,139167082495.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,5.13,2.062.649.491,2.489.521.461,,311.0,513.0,2062649491.0,2489521461.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,5.14,9.281.642.601,9.281.642.601,,312.0,514.0,9281642601.0,9281642601.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,5.15,61.519.740,93.070.800,,313.0,515.0,61519740.0,93070800.0
4.,4.,4.,Phải trả người lao động,314,,542.211.627,453.859.467,,314.0,,542211627.0,453859467.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,,52.255.410,-,,315.0,,52255410.0,
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,5.16,7.406.454.213,7.400.340.077,,318.0,516.0,7406454213.0,7400340077.0
9.,9.,9.,Phải trả ngắn hạn khác,319,5.17,144.083.716.976,113.889.063.714,,319.0,517.0,144083716976.0,113889063714.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,5.18,34.277.733.073,4.500.000.000,,320.0,518.0,34277733073.0,4500000000.0
12.,12.,12.,Quỹ khen thưởng phúc lợi,322,,1.006.328.965,1.059.584.375,,322.0,,1006328965.0,1059584375.0
II.,II.,II.,Nợ dài hạn,330,,737.735.011.684,809.574.577.341,,330.0,,737735011684.0,809574577341.0
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,5.16,239.524.445.724,246.840.410.796,,336.0,516.0,239524445724.0,246840410796.0
7.,7.,7.,Phải trả dài hạn khác,337,5.17,498.210.565.960,532.506.433.472,,337.0,517.0,498210565960.0,532506433472.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,5.18,-,30.227.733.073,,338.0,518.0,,30227733073.0
D-,D-,D-,VỐN CHỦ SỞ HỮU(400 = 410),400,,614.551.293.323,563.192.657.033,,400.0,,614551293323.0,563192657033.0
I-,I-,I-,Vốn chủ sở hữu,410,5.19,614.551.293.323,563.192.657.033,,410.0,519.0,614551293323.0,563192657033.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.000.000.000.000,3.000.000.000.000,,411.0,,3000000000000.0,3000000000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.000.000.000.000,3.000.000.000.000,,,,3000000000000.0,3000000000000.0
4.,4.,4.,Vốn khác của chủ sở hữu,414,,1.286.825.482,1.286.825.482,,414.0,,1286825482.0,1286825482.0
5.,5.,5.,Cổ phiếu quỹ,415,,(10.000),(10.000),,415.0,,-10000.0,-10000.0
8.,8.,8.,Quỹ đầu tư phát triển,418,,99.871.176.744,99.871.176.744,,418.0,,99871176744.0,99871176744.0
10.,10.,10.,Quỹ khác thuộc vốn chủ sở hữu,420,,10.830.443.286,10.830.443.286,,420.0,,10830443286.0,10830443286.0
11.,11.,11.,Lợi nhuận sau thuế chưa phân phốiLNST chưa phân phối lũy kế đếncuối kỳ trước,421,,(2.497.437.142.189),(2.548.795.778.479),,421.0,,-2497437142189.0,-2548795778479.0
,,,- LNST chưa phân phối lũy kế đếncuối kỳ trước,421a,,(2.548.795.778.479),(2.623.870.463.848),,,,-2548795778479.0,-2623870463848.0
,,,- LNST chưa phân phối kỳ này,421b,,51.358.636.290,75.074.685.369,,,,51358636290.0,75074685369.0
TỔNG CỘNG NGUỒN VỐN (440 = 300+400),TỔNG CỘNG NGUỒN VỐN (440 = 300+400),TỔNG CỘNG NGUỒN VỐN (440 = 300+400),TỔNG CỘNG NGUỒN VỐN (440 = 300+400),440,,1.551.060.817.103,1.511.934.316.869,,440.0,,1551060817103.0,1511934316869.0
