row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Thương mại Phát triển Nhà và Đô thị Việt Nam,Công ty Cổ phần Thương mại Phát triển Nhà và Đô thị Việt Nam,Công ty Cổ phần Thương mại Phát triển Nhà và Đô thị Việt Nam,Cổ đông lớn,
Công ty Cổ phần Xây dựng Sông Hồng Bắc Việt,Công ty Cổ phần Xây dựng Sông Hồng Bắc Việt,Công ty Cổ phần Xây dựng Sông Hồng Bắc Việt,Cổ đông lớn,
Công ty Cổ phần Đầu tư Bất động sản Thương mại Hùng Lĩnh,Công ty Cổ phần Đầu tư Bất động sản Thương mại Hùng Lĩnh,Công ty Cổ phần Đầu tư Bất động sản Thương mại Hùng Lĩnh,Cổ đông lớn,
Công ty Cổ phần One Capital Hospitality (OCH),Công ty Cổ phần One Capital Hospitality (OCH),Công ty Cổ phần One Capital Hospitality (OCH),Công ty con,
Công ty Cổ phần Phát triển Tài nguyên Thiên nhiên Đại dương,Công ty Cổ phần Phát triển Tài nguyên Thiên nhiên Đại dương,Công ty Cổ phần Phát triển Tài nguyên Thiên nhiên Đại dương,Công ty con,
Công ty Cổ phần Sở giao dịch hàng hóa INFO,Công ty Cổ phần Sở giao dịch hàng hóa INFO,Công ty Cổ phần Sở giao dịch hàng hóa INFO,Công ty con,
Công ty TNHH Đầu tư Kinh doanh Bất động sản TKD Việt Nam,Công ty TNHH Đầu tư Kinh doanh Bất động sản TKD Việt Nam,Công ty TNHH Đầu tư Kinh doanh Bất động sản TKD Việt Nam,Công ty con,
Công ty Cổ phần Tân Việt,Công ty Cổ phần Tân Việt,Công ty Cổ phần Tân Việt,Công ty con của OCH,
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty con của OCH,
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty con của OCH,
Công ty Cổ phần Kem Tràng Tiền,Công ty Cổ phần Kem Tràng Tiền,Công ty Cổ phần Kem Tràng Tiền,Công ty con của OCH,
Công ty TNHH MTV Sao Hôm Nha Trang,Công ty TNHH MTV Sao Hôm Nha Trang,Công ty TNHH MTV Sao Hôm Nha Trang,Công ty con của OCH,
Quỹ đầu tư cơ hội đặc biệt Leadvisors,Quỹ đầu tư cơ hội đặc biệt Leadvisors,Quỹ đầu tư cơ hội đặc biệt Leadvisors,Công ty con của OCH,
Công ty TNHH Thực phẩm sạch JP,Công ty TNHH Thực phẩm sạch JP,Công ty TNHH Thực phẩm sạch JP,Công ty con của OCH,
Công ty Cổ phần Kem Tín Phát,Công ty Cổ phần Kem Tín Phát,Công ty Cổ phần Kem Tín Phát,Công ty con của OCH,
Công ty Cổ phần One Capital Consumer,Công ty Cổ phần One Capital Consumer,Công ty Cổ phần One Capital Consumer,Công ty con của OCH,
Công ty TNHH Sản xuất Bình Hưng,Công ty TNHH Sản xuất Bình Hưng,Công ty TNHH Sản xuất Bình Hưng,Công ty con của OCH,
Công ty Cổ phần Thực phẩm Fuji,Công ty Cổ phần Thực phẩm Fuji,Công ty Cổ phần Thực phẩm Fuji,Công ty con của OCH,
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty liên kết,
"Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát và các cá nhân có liên quan đến các thành viên quản lý chủ chốt","Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát và các cá nhân có liên quan đến các thành viên quản lý chủ chốt","Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát và các cá nhân có liên quan đến các thành viên quản lý chủ chốt",Ảnh hưởng đáng kể,
