row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Tính chất giao dịch,Năm 2025 VND,Năm 2024 VND,numeric__Mối quan hệ,numeric__Tính chất giao dịch,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Bán hàng,Bán hàng,Bán hàng,,,2.315.296.355,1.569.767.352,,,2315296355.0,1569767352.0
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty con của OCH,Cho thuêvăn phòng,1.525.987.092,1.569.767.352,,,1525987092.0,1569767352.0
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty con của OCH,Thi công,789.309.263,-,,,789309263.0,
Cho vay,Cho vay,Cho vay,,,6.000.000.000,-,,,6000000000.0,
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty con của OCH,Cho vay,6.000.000.000,-,,,6000000000.0,
Trả nợ vay,Trả nợ vay,Trả nợ vay,,,450.000.000,-,,,450000000.0,
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty con của OCH,Trả vay,450.000.000,-,,,450000000.0,
Doanh thu tài chính,Doanh thu tài chính,Doanh thu tài chính,,,28.610.000.000,-,,,28610000000.0,
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty con của OCH,Lãi cho vay,260.000.000,-,,,260000000.0,
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty liên kết,Cổ tức,28.350.000.000,-,,,28350000000.0,
Chỉ phí tài tính,Chỉ phí tài tính,Chỉ phí tài tính,,,1.763.186.376,2.206.658.039,,,1763186376.0,2206658039.0
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty con của OCH,Lãi vay,1.763.186.376,2.206.658.039,,,1763186376.0,2206658039.0
