row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Tính chất giao dịch,31/12/2025 VND,01/01/2025 VND,numeric__Mối quan hệ,numeric__Tính chất giao dịch,numeric__31/12/2025 VND,numeric__01/01/2025 VND
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,852.454.004,-,,,852454004.0,
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty con của OCH,Thi công,852.454.004,-,,,852454004.0,
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,,6.000.000.000,-,,,6000000000.0,
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty con của OCH,Cho vay,6.000.000.000,-,,,6000000000.0,
Phải thu khác,Phải thu khác,Phải thu khác,,,260.000.000,-,,,260000000.0,
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty con của OCH,Lãi cho vay,260.000.000,-,,,260000000.0,
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,,,1.525.987.097,1.525.987.097,,,1525987097.0,1525987097.0
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty con của OCH,Cho thuê văn phòng,1.525.987.097,1.525.987.097,,,1525987097.0,1525987097.0
Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,,,34.277.733.073,4.500.000.000,,,34277733073.0,4500000000.0
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty con của OCH,Vay,34.277.733.073,4.500.000.000,,,34277733073.0,4500000000.0
Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,,,30.059.053.888,28.295.867.512,,,30059053888.0,28295867512.0
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty con của OCH,Chi phí lãi vay,30.059.053.888,28.295.867.512,,,30059053888.0,28295867512.0
Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,,,48.450.090.349,49.976.077.441,,,48450090349.0,49976077441.0
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty con của OCH,Cho thuê văn phòng,48.450.090.349,49.976.077.441,,,48450090349.0,49976077441.0
Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,,,-,30.227.733.073,,,,30227733073.0
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty con của OCH,Vay,-,30.227.733.073,,,,30227733073.0
