row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,4.911.613,3.168.238,23.477,8.103.328,4911613.0,3168238.0,23477.0,8103328.0
Mua trong năm,Nguyên giá TSCĐ vô hình > Mua trong năm,Mua trong năm,301.429,269.727,2.508,573.664,301429.0,269727.0,2508.0,573664.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.414),-,(2.414),,-2414.0,,-2414.0
Tăng khác,Nguyên giá TSCĐ vô hình > Tăng khác,Tăng khác,1.969,8.167,58,10.194,1969.0,8167.0,58.0,10194.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,5.215.011,3.443.718,26.043,8.684.772,5215011.0,3443718.0,26043.0,8684772.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,559.466,2.211.656,11.594,2.782.716,559466.0,2211656.0,11594.0,2782716.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,49.495,264.294,2.317,316.106,49495.0,264294.0,2317.0,316106.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.414),-,(2.414),,-2414.0,,-2414.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,-,6.054,50,6.104,,6054.0,50.0,6104.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,608.961,2.479.590,13.961,3.102.512,608961.0,2479590.0,13961.0,3102512.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,4.352.147,956.582,11.883,5.320.612,4352147.0,956582.0,11883.0,5320612.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.606.050,964.128,12.082,5.582.260,4606050.0,964128.0,12082.0,5582260.0
