row_label_raw,row_label_full,Bên liên quan,Số dư,Phải thu,Phải trả,numeric__Số dư,numeric__Phải thu,numeric__Phải trả
,,,,Triệu VND,Triệu VND,,,
Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Tiền gửi của BIDV tại đại diện chủ sở hữu,86.986.352,-,,86986352.0,
Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Các khoản vay của BIDV từ đại diện chủ sở hữu,-,15.835.642,,,15835642.0
Bên liên quan của chủ sở hữu (BTC và Kho bạc BIDV Nhà nước),Bên liên quan của chủ sở hữu (BTC và Kho bạc BIDV Nhà nước),Bên liên quan của chủ sở hữu (BTC và Kho bạc BIDV Nhà nước),Tiền gửi của bên liên quan của chủ sở hữu tại BIDV,-,151.391.147,,,151391147.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Tiền gửi tại BIDV của cổ đông chiến lược,-,243.998,,,243998.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Tiền gửi của BIDV tại cổ đông chiến lược,595.658,-,,595658.0,
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền gửi của các công ty liên doanh,-,4.804.126,,,4804126.0
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền gửi của BIDV tại các công ty liên doanh,2.627.101,-,,2627101.0,
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Tiền gửi tại BIDV của các công ty liên kết,-,780.318,,,780318.0
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Tiền vay từ BIDV của các công ty liên kết,53.725,-,,53725.0,
"Người quản lý, thành viên Ban Kiểm soát","Người quản lý, thành viên Ban Kiểm soát","Người quản lý, thành viên Ban Kiểm soát","Tiền gửi của người quản lý, thành viên Ban Kiểm soát tại BIDV",-,77.347,,,77347.0
"Người quản lý, thành viên Ban Kiểm soát","Người quản lý, thành viên Ban Kiểm soát","Người quản lý, thành viên Ban Kiểm soát","Dư nợ thể tín dụng tại BIDV của người quản lý, thành viên Ban Kiểm soát",992,-,,992.0,
