row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị, dụng cụquản lý",TSCĐ hữu hìnhkhác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị, dụng cụquản lý",numeric__TSCĐ hữu hìnhkhác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,8.063.165,6.490.399,1.737.105,234.673,219.777,16.745.119,8063165.0,6490399.0,1737105.0,234673.0,219777.0,16745119.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,12.855,762.251,189.885,13.753,13.288,992.032,12855.0,762251.0,189885.0,13753.0,13288.0,992032.0
Đầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,177.592,108.051,32.932,22.819,1.986,343.380,177592.0,108051.0,32932.0,22819.0,1986.0,343380.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.169),(228.858),(67.945),(13.499),(8.043),(323.514),-5169.0,-228858.0,-67945.0,-13499.0,-8043.0,-323514.0
Tăng/(Giám) khác,Nguyên giá TSCĐ hữu hình > Tăng/(Giám) khác,Tăng/(Giám) khác,92.526,5.830,21.480,(9.106),(9.465),101.265,92526.0,5830.0,21480.0,-9106.0,-9465.0,101265.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,8.340.969,7.137.673,1.913.457,248.640,217.543,17.858.282,8340969.0,7137673.0,1913457.0,248640.0,217543.0,17858282.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm (Trình bày lại),Giá trị hao mòn lũy kế > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),3.362.438,4.869.799,1.339.103,189.014,140.528,9.900.882,3362438.0,4869799.0,1339103.0,189014.0,140528.0,9900882.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,275.391,507.545,129.971,26.862,24.616,964.385,275391.0,507545.0,129971.0,26862.0,24616.0,964385.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.184),(227.887),(62.683),(12.845),(7.772),(314.371),-3184.0,-227887.0,-62683.0,-12845.0,-7772.0,-314371.0
Tăng/(Giám) khác,Giá trị hao mòn lũy kế > Tăng/(Giám) khác,Tăng/(Giám) khác,(234.792),7.032,11.394,(8.594),(8.463),(233.423),-234792.0,7032.0,11394.0,-8594.0,-8463.0,-233423.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.399.853,5.156.489,1.417.785,194.437,148.909,10.317.473,3399853.0,5156489.0,1417785.0,194437.0,148909.0,10317473.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm (Trình bày lại),Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),4.700.727,1.620.600,398.002,45.659,79.249,6.844.237,4700727.0,1620600.0,398002.0,45659.0,79249.0,6844237.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,4.941.116,1.981.184,495.672,54.203,68.634,7.540.809,4941116.0,1981184.0,495672.0,54203.0,68634.0,7540809.0
