row_label_raw,row_label_full,Bà Tạ Thị Hạnh,Trường ban Kiểm soát,numeric__Trường ban Kiểm soát
Ông Cao Cự Trí,Ông Cao Cự Trí,Ông Cao Cự Trí,Thành viên chuyên trách,
Bà Nguyễn Thị Thu Hà,Bà Nguyễn Thị Thu Hà,Bà Nguyễn Thị Thu Hà,Thành viên chuyên trách,
Ông Nguyễn Trung Kiên,Ông Nguyễn Trung Kiên,Ông Nguyễn Trung Kiên,Thành viên chuyên trách,
Ông Huỳnh Phương,Ông Huỳnh Phương,Ông Huỳnh Phương,Thành viên chuyên trách (bỗ nhiệm ngày 26 tháng 4 năm 2025),
