row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",6,13.075.066,10.772.890,,6.0,13075066.0,10772890.0
II.,A > II.,II.,Tiền gửi tại Ngân hàng Trung ương,7,123.629.833,92.341.029,,7.0,123629833.0,92341029.0
III.,A > III.,III.,Tiền gửi và cho vay các TCTD khác,8,457.353.489,279.971.515,,8.0,457353489.0,279971515.0
1.,A > 1.,1.,Tiền gửi tại TCTD khác,,443.325.963,268.366.137,,,443325963.0,268366137.0
2.,A > 2.,2.,Cho vay các TCTD khác,,14.090.848,11.686.232,,,14090848.0,11686232.0
3.,A > 3.,3.,Dự phòng rủi ro tiền gửi tại và cho vay các TCTD khác,9,(63.322),(80.854),,9.0,-63322.0,-80854.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,10,30.152.464,12.734.060,,10.0,30152464.0,12734060.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,30.183.811,12.773.340,,,30183811.0,12773340.0
2.,A > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(31.347),(39.280),,,-31347.0,-39280.0
V.,A > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,11,-,663.256,,11.0,,663256.0
VI.,A > VI.,VI.,Cho vay khách hàng,,2.338.009.521,2.018.111.939,,,2338009521.0,2018111939.0
1.,A > 1.,1.,Cho vay khách hàng,12,2.372.955.074,2.056.082.420,,12.0,2372955074.0,2056082420.0
2.,A > 2.,2.,Dự phòng rủi ro cho vay khách hàng,13,(34.945.553),(37.970.481),,13.0,-34945553.0,-37970481.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,14,285.463.101,277.838.108,,14.0,285463101.0,277838108.0
1.,A > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,14.1,171.882.436,157.918.828,,141.0,171882436.0,157918828.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,14.2,113.629.492,121.120.044,,142.0,113629492.0,121120044.0
3.,A > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,14.4,(48.827),(1.200.764),,144.0,-48827.0,-1200764.0
VIII.,A > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",15,4.373.644,3.423.594,,15.0,4373644.0,3423594.0
1.,A > 1.,1.,Vốn góp liên doanh,15.1,3.083.714,2.608.671,,151.0,3083714.0,2608671.0
2.,A > 2.,2.,Đầu tư vào công ty liên kết,15.2,1.211.083,739.841,,152.0,1211083.0,739841.0
3.,A > 3.,3.,"Góp vốn, đầu tư dài hạn khác",,183.050,182.914,,,183050.0,182914.0
4.,A > 4.,4.,Dự phòng giám giá đầu tư dài hạn,15.3,(104.203),(107.832),,153.0,-104203.0,-107832.0
IX.,A > IX.,IX.,Tài sản cố định,16,13.123.069,12.164.849,,16.0,13123069.0,12164849.0
1.,A > 1.,1.,Tài sản cố định hữu hình,16.1,7.540.809,6.844.237,,161.0,7540809.0,6844237.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,17.858.282,16.745.119,,,17858282.0,16745119.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(10.317.473),(9.900.882),,,-10317473.0,-9900882.0
2.,A > 2.,2.,Tài sản cố định vô hình,16.2,5.582.260,5.320.612,,162.0,5582260.0,5320612.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,8.684.772,8.103.328,,,8684772.0,8103328.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(3.102.512),(2.782.716),,,-3102512.0,-2782716.0
X.,A > X.,X.,Tài sản Có khác,17,65.645.533,52.885.724,,17.0,65645533.0,52885724.0
1.,A > 1.,1.,Các khoản phải thu,,32.944.317,25.773.422,,,32944317.0,25773422.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,28.145.159,23.146.980,,,28145159.0,23146980.0
3.,A > 3.,3.,Tài sản thuê thu nhập doanh nghiệp hoãn lại,,27.682,27.056,,,27682.0,27056.0
4.,A > 4.,4.,Tài sản Có khác,,4.736.845,4.242.266,,,4736845.0,4242266.0
5.,A > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bảng khác,17.3,(208.470),(304.000),,173.0,-208470.0,-304000.0
,,,TỔNG TÀI SẢN,,3.330.825.720,2.760.906.964,,,3330825720.0,2760906964.0
