row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiền gửi,Các cam kết ngoại bảng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán (Chênh lệch DN-DC),numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi,numeric__Các cam kết ngoại bảng,numeric__CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán (Chênh lệch DN-DC)
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,2.356.800.518,2.721.282.540,556.449.740,230.557,313.930.664,2356800518.0,2721282540.0,556449740.0,230557.0,313930664.0
Nước ngoài,Nước ngoài,Nước ngoài,30.245.404,36.882.043,2.260.852,-,1.765.075,30245404.0,36882043.0,2260852.0,,1765075.0
