row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,6.860.518,5.104.099,6860518.0,5104099.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,49.888.105,42.390.777,49888105.0,42390777.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Các khoản lãi và phí phải trả,Trong đó: > - Các khoản lãi và phí phải trả,- Các khoản lãi và phí phải trả,33.802.929,28.670.106,33802929.0,28670106.0
- Phải trả về xây dựng cơ bản,Trong đó: > - Phải trả về xây dựng cơ bản,- Phải trả về xây dựng cơ bản,147.641,165.658,147641.0,165658.0
- Thuế và các khoản phải trả khác cho ngân sách Nhà nước,Trong đó: > - Thuế và các khoản phải trả khác cho ngân sách Nhà nước,- Thuế và các khoản phải trả khác cho ngân sách Nhà nước,4.096.156,2.906.927,4096156.0,2906927.0
- Phải trả trong nghiệp vụ chứng khoán và báo hiểm,Trong đó: > - Phải trả trong nghiệp vụ chứng khoán và báo hiểm,- Phải trả trong nghiệp vụ chứng khoán và báo hiểm,5.234.871,4.234.624,5234871.0,4234624.0
- Thuế thu nhập doanh nghiệp hoãn lại phải trả,Trong đó: > - Thuế thu nhập doanh nghiệp hoãn lại phải trả,- Thuế thu nhập doanh nghiệp hoãn lại phải trả,65.589,79.818,65589.0,79818.0
"Quỹ khen thưởng, phúc lợi","Trong đó: > Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",3.060.441,3.037.751,3060441.0,3037751.0
,,,59.809.064,50.532.627,59809064.0,50532627.0
