row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
1.,1.,1.,Bảo lãnh vay vốn,40,5.051.135,7.003.205,,40.0,5051135.0,7003205.0
2.,2.,2.,Cam kết giao dịch hối đoái,,236.063.944,133.387.287,,,236063944.0,133387287.0
a.,a.,a.,Cam kết mua ngoại tệ,,693.500,2.333.456,,,693500.0,2333456.0
b.,b.,b.,Cam kết bán ngoại tệ,,3.197.813,2.666.274,,,3197813.0,2666274.0
c.,c.,c.,Cam kết giao dịch hoán đối đến,,116.097.753,64.605.066,,,116097753.0,64605066.0
d.,d.,d.,Cam kết giao dịch hoán đối đi,,116.074.878,63.782.491,,,116074878.0,63782491.0
3.,3.,3.,Cam kết trong nghiệp vụ L/C,40,67.407.887,62.266.136,,40.0,67407887.0,62266136.0
4.,4.,4.,Bảo lãnh khác,40,246.978.045,199.424.464,,40.0,246978045.0,199424464.0
5.,5.,5.,Cam kết khác,40,13.209.581,14.564.280,,40.0,13209581.0,14564280.0
6.,6.,6.,Lãi cho vay và phí phải thu chưa thu được,41,17.096.777,21.507.273,,41.0,17096777.0,21507273.0
7.,7.,7.,Nợ khó đòi đã xử lý,42,283.149.941,254.094.151,,42.0,283149941.0,254094151.0
a.,a.,a.,Nợ gốc của các khoản nợ khó đòi đã xử lý,,143.589.226,130.056.395,,,143589226.0,130056395.0
b.,b.,b.,Nợ lãi của các khoản nợ khó đòi đã xử lý,,139.560.715,124.037.756,,,139560715.0,124037756.0
8.,8.,8.,Tài sản và chứng từ khác,43,73.469.602,66.301.195,,43.0,73469602.0,66301195.0
