row_label_raw,row_label_full,Khoản mục,Số đã trình bày,Điều chỉnh,Số trình bày lại,numeric__Số đã trình bày,numeric__Điều chỉnh,numeric__Số trình bày lại
BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,,,
Cho vay khách hàng,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Cho vay khách hàng,Cho vay khách hàng,2.018.043.649,68.290,2.018.111.939,2018043649.0,68290.0,2018111939.0
Dự phòng rủi ro cho vay khách hàng,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(38.038.771),68.290,(37.970.481),-38038771.0,68290.0,-37970481.0
Tài sản cố định,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Tài sản cố định,Tài sản cố định,12.119.817,45.032,12.164.849,12119817.0,45032.0,12164849.0
Tài sản cố định hữu hình,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Tài sản cố định hữu hình,Tài sản cố định hữu hình,6.799.205,45.032,6.844.237,6799205.0,45032.0,6844237.0
Nguyên giá tài sản cố định,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,16.745.119,-,16.745.119,16745119.0,,16745119.0
Hao mòn tài sản cố định,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Hao mòn tài sản cố định,Hao mòn tài sản cố định,(9.945.914),45.032,(9.900.882),-9945914.0,45032.0,-9900882.0
Tài sản Có khác,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Tài sản Có khác,Tài sản Có khác,52.883.936,1.788,52.885.724,52883936.0,1788.0,52885724.0
Các khoản phải thu,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Các khoản phải thu,Các khoản phải thu,25.770.364,3.058,25.773.422,25770364.0,3058.0,25773422.0
"Các khoản lãi, phí phải thu","BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",23.150.598,(3.618),23.146.980,23150598.0,-3618.0,23146980.0
Tài sản Có khác,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Tài sản Có khác,Tài sản Có khác,4.239.918,2.348,4.242.266,4239918.0,2348.0,4242266.0
TỔNG TÀI SẢN,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > TỔNG TÀI SẢN,TỔNG TÀI SẢN,2.760.791.854,115.110,2.760.906.964,2760791854.0,115110.0,2760906964.0
Các khoản nợ khác,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Các khoản nợ khác,Các khoản nợ khác,50.490.598,42.029,50.532.627,50490598.0,42029.0,50532627.0
Các khoản phải trả và công nợ khác,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,21.740.674,42.029,21.782.703,21740674.0,42029.0,21782703.0
Vốn và các quỹ,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Vốn và các quỹ,Vốn và các quỹ,144.911.113,73.081,144.984.194,144911113.0,73081.0,144984194.0
Lợi nhuận chưa phân phối,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,36.192.494,72.012,36.264.506,36192494.0,72012.0,36264506.0
Lợi ích cố đồng không kiểm soát,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Lợi ích cố đồng không kiểm soát,Lợi ích cố đồng không kiểm soát,5.234.039,1.069,5.235.108,5234039.0,1069.0,5235108.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,2.760.791.854,115.110,2.760.906.964,2760791854.0,115110.0,2760906964.0
