row_label_raw,row_label_full,Khoản mục,Số đã trình bày,Điều chỉnh,Số trình bày lại,numeric__Số đã trình bày,numeric__Điều chỉnh,numeric__Số trình bày lại
BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,,,
Thu nhập lãi và các khoản thu nhập tương tự,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,138.288.411,(4.598),138.283.813,138288411.0,-4598.0,138283813.0
Thu nhập lãi thuần,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Thu nhập lãi thuần,Thu nhập lãi thuần,58.007.576,(4.598),58.002.978,58007576.0,-4598.0,58002978.0
Thu nhập từ hoạt động dịch vụ,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,13.465.312,276,13.465.588,13465312.0,276.0,13465588.0
Chi phí hoạt động dịch vụ,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(6.390.867),2.135,(6.388.732),-6390867.0,2135.0,-6388732.0
Lãi thuần từ hoạt động dịch vụ,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,7.074.445,2.411,7.076.856,7074445.0,2411.0,7076856.0
Thu nhập từ hoạt động khác,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,9.191.893,37.936,9.229.829,9191893.0,37936.0,9229829.0
Chi phí hoạt động khác,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Chi phí hoạt động khác,Chi phí hoạt động khác,(4.205.132),-,(4.205.132),-4205132.0,,-4205132.0
Lãi thuần từ hoạt động khác,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,4.986.761,37.936,5.024.697,4986761.0,37936.0,5024697.0
Chi phí khấu hao,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Chi phí khấu hao,Chi phí khấu hao,(1.312.861),7.097,(1.305.764),-1312861.0,7097.0,-1305764.0
Chi phí hoạt động khác,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Chi phí hoạt động khác,Chi phí hoạt động khác,(10.655.016),(19.784),(10.674.800),-10655016.0,-19784.0,-10674800.0
Tổng chi phí hoạt động,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Tổng chi phí hoạt động,Tổng chi phí hoạt động,(27.966.817),(12.687),(27.979.504),-27966817.0,-12687.0,-27979504.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,53.094.049,23.062,53.117.111,53094049.0,23062.0,53117111.0
Chi phí dự phòng rủi ro tín dụng,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(21.109.180),68.290,(21.040.890),-21109180.0,68290.0,-21040890.0
Tổng lợi nhuận trước thuế,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,31.984.869,91.352,32.076.221,31984869.0,91352.0,32076221.0
Chi phí thuế TNDN hiện hành,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(6.384.627),(18.271),(6.402.898),-6384627.0,-18271.0,-6402898.0
Chi phí thuế TNDN,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Chi phí thuế TNDN,Chi phí thuế TNDN,(6.380.832),(18.271),(6.399.103),-6380832.0,-18271.0,-6399103.0
Lợi nhuận sau thuế,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Lợi nhuận sau thuế,Lợi nhuận sau thuế,25.604.037,73.081,25.677.118,25604037.0,73081.0,25677118.0
Lợi ích cổ đông thiểu số,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Lợi ích cổ đông thiểu số,Lợi ích cổ đông thiểu số,(464.000),(1.069),(465.069),-464000.0,-1069.0,-465069.0
Lợi nhuận thuần của Ngân hàng mẹ,BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > Lợi nhuận thuần của Ngân hàng mẹ,Lợi nhuận thuần của Ngân hàng mẹ,25.140.037,72.012,25.212.049,25140037.0,72012.0,25212049.0
