row_label_raw,row_label_full,Chỉ tiêu/Items,2025,2024,Tăng trưởng/ Growth,numeric__2025,numeric__2024,numeric__Tăng trưởng/ Growth
LNST riêng lẻ/Separate after-tax profit,LNST riêng lẻ/Separate after-tax profit,LNST riêng lẻ/Separate after-tax profit,28.445.518,24.579.917,"15,73%",28445518.0,24579917.0,0.1573
LNST hợp nhất/Consolidated after-tax profit,LNST hợp nhất/Consolidated after-tax profit,LNST hợp nhất/Consolidated after-tax profit,30.430.130,25.677.118,"18,51%",30430130.0,25677118.0,0.18510000000000001
