row_label_raw,row_label_full,STT,CHÌ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__CHÌ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và Ngân hàng Trung ương,18,218.825.525,168.388.958,,18.0,218825525.0,168388958.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,19,417.965.201,232.954.067,,19.0,417965201.0,232954067.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,392.473.437,205.610.785,,,392473437.0,205610785.0
2.,B. > 2.,2.,Vay các TCTD khác,,25.491.764,27.343.282,,,25491764.0,27343282.0
III.,B. > III.,III.,Tiền gửi của khách hàng,20,2.222.991.628,1.953.165.486,,20.0,2222991628.0,1953165486.0
IV.,B. > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,11,230.557,-,,11.0,230557.0,
V.,B. > V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",21,12.043.069,11.981.467,,21.0,12043069.0,11981467.0
VI.,B. > VI.,VI.,Phát hành giấy tờ có giá,22,225.407.774,198.900.165,,22.0,225407774.0,198900165.0
VII.,B. > VII.,VII.,Các khoản nợ khác,23,59.809.064,50.532.627,,23.0,59809064.0,50532627.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,33.802.929,28.670.105,,,33802929.0,28670105.0
2.,B. > 2.,2.,Thuế TNDN hoãn lại phải trả,,65.589,79.819,,,65589.0,79819.0
3.,B. > 3.,3.,Các khoản phải trả và công nợ khác,,25.940.546,21.782.703,,,25940546.0,21782703.0
,,,TỔNG NỘ PHẢI TRẢ,,3.157.272.818,2.615.922.770,,,3157272818.0,2615922770.0
VIII.,B. > VIII.,VIII.,Vốn và các quỹ,25,,,,25.0,,
1.,B. > 1.,1.,Vốn của Ngân hàng,25,90.089.431,84.788.796,,25.0,90089431.0,84788796.0
a.,B. > a.,a.,Vốn điều lệ,,70.213.619,68.975.153,,,70213619.0,68975153.0
b.,B. > b.,b.,Thặng dư vốn cổ phần,,18.875.728,15.361.020,,,18875728.0,15361020.0
c.,B. > c.,c.,Vốn khác,,1.000.084,452.623,,,1000084.0,452623.0
2.,B. > 2.,2.,Quỹ của Ngân hàng,25,33.710.640,19.396.820,,25.0,33710640.0,19396820.0
3.,B. > 3.,3.,Chênh lệch tỷ giá hối đoái,25,(597.397),(701.036),,25.0,-597397.0,-701036.0
4.,B. > 4.,4.,Lợi nhuận chưa phân phối,25,44.786.285,36.264.506,,25.0,44786285.0,36264506.0
5.,B. > 5.,5.,Lợi ích của cổ đông không kiểm soát,25,5.563.943,5.235.108,,25.0,5563943.0,5235108.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,173.552.902,144.984.194,,,173552902.0,144984194.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,3.330.825.720,2.760.906.964,,,3330825720.0,2760906964.0
