row_label_raw,row_label_full,col_0,Chứng khoán đầu tư'sản sàng để bán,Chứng khoán đầu tư'sản sàng để bán_1,Chứng khoán đầu tư'sản sàng để bán_2,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn_1,Tổng cộng,numeric__Chứng khoán đầu tư'sản sàng để bán,numeric__Chứng khoán đầu tư'sản sàng để bán_1,numeric__Chứng khoán đầu tư'sản sàng để bán_2,numeric__Chứng khoán đầu tư giữ đến ngày đáo hạn,numeric__Chứng khoán đầu tư giữ đến ngày đáo hạn_1,numeric__Tổng cộng
,,,Dự phòng giảm giá,Dự phòng chung,Dự phòng cụ thể,Dự phòng chung,Dự phòng cụ thể,Tổng cộng,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm(Hoàn nhập)/Trích lập(xem Thuyết minh số 30.2),Số dư đầu năm(Hoàn nhập)/Trích lập(xem Thuyết minh số 30.2),Số dư đầu năm(Hoàn nhập)/Trích lập(xem Thuyết minh số 30.2),27.369(4.537),21.862(21.862),155.250(155.250),9.52516.470,986.758(986.758),1.200.764(1.151.937),,,,952516470.0,,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,22.832,-,-,25.995,-,48.827,22832.0,,,25995.0,,48827.0
