row_label_raw,row_label_full,col_0,Số dư đầu năm(Trình bày lại),Phát sinh trong kỳ > Số phải nộp,Phát sinh trong kỳ > Số đã nộp,Số dư cuối năm,numeric__Số dư đầu năm(Trình bày lại),numeric__Phát sinh trong kỳ > Số phải nộp,numeric__Phát sinh trong kỳ > Số đã nộp,numeric__Số dư cuối năm
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,2.355,1.555.989,(1.429.729),128.615,2355.0,1555989.0,-1429729.0,128615.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,2.992.028,7.368.944,(6.769.278),3.591.694,2992028.0,7368944.0,-6769278.0,3591694.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,194.333,3.075.794,(3.085.988),184.139,194333.0,3075794.0,-3085988.0,184139.0
"Các khoản phải nộp khác vàcác khoản phí, lệ phí","Các khoản phải nộp khác vàcác khoản phí, lệ phí","Các khoản phải nộp khác vàcác khoản phí, lệ phí",177.339,89.667,(90.101),176.905,177339.0,89667.0,-90101.0,176905.0
,,,3.366.055,12.090.394,(11.375.096),4.081.353,3366055.0,12090394.0,-11375096.0,4081353.0
